# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0930,    0.0586,    923.176,    0.353,    19.772
2.0,    0.03,    0.0430,    0.0927,    0.0570,    897.823,    0.343,    19.715
3.9,    0.05,    0.0882,    0.0924,    0.0554,    873.215,    0.334,    19.652
5.9,    0.08,    0.1357,    0.0921,    0.0539,    848.606,    0.324,    19.577
7.8,    0.11,    0.1858,    0.0916,    0.0522,    822.507,    0.314,    19.488
9.8,    0.13,    0.2386,    0.0911,    0.0505,    796.407,    0.304,    19.376
11.8,    0.16,    0.2944,    0.0905,    0.0488,    768.817,    0.294,    19.243
13.7,    0.19,    0.3509,    0.0887,    0.0468,    737.497,    0.282,    18.856
15.7,    0.21,    0.4087,    0.0861,    0.0446,    703.195,    0.269,    18.318
17.7,    0.24,    0.4630,    0.0832,    0.0428,    674.113,    0.257,    17.686
19.6,    0.26,    0.5074,    0.0799,    0.0417,    656.216,    0.251,    16.988
21.5,    0.29,    0.5463,    0.0765,    0.0408,    642.048,    0.245,    16.267
23.5,    0.32,    0.5813,    0.0730,    0.0399,    628.625,    0.240,    15.529
25.5,    0.34,    0.6145,    0.0695,    0.0389,    612.965,    0.234,    14.773
27.4,    0.37,    0.6453,    0.0658,    0.0378,    595.068,    0.227,    13.994
29.4,    0.40,    0.6736,    0.0620,    0.0366,    575.680,    0.220,    13.193
31.4,    0.42,    0.6992,    0.0582,    0.0353,    555.546,    0.212,    12.379
33.3,    0.45,    0.7229,    0.0543,    0.0338,    532.430,    0.203,    11.548
35.3,    0.48,    0.7436,    0.0503,    0.0322,    507.822,    0.194,    10.698
37.2,    0.50,    0.7618,    0.0462,    0.0305,    480.231,    0.183,    9.826
39.2,    0.53,    0.7777,    0.0420,    0.0286,    450.403,    0.172,    8.932
41.2,    0.56,    0.7902,    0.0377,    0.0266,    418.338,    0.160,    8.029
43.1,    0.58,    0.7979,    0.0334,    0.0244,    384.035,    0.147,    7.104
45.1,    0.61,    0.8015,    0.0290,    0.0220,    346.750,    0.132,    6.161
47.1,    0.64,    0.7995,    0.0244,    0.0194,    305.737,    0.117,    5.187
49.0,    0.66,    0.7874,    0.0198,    0.0166,    261.741,    0.100,    4.204
51.0,    0.69,    0.7572,    0.0150,    0.0136,    214.762,    0.082,    3.189
52.9,    0.71,    0.6924,    0.0101,    0.0104,    164.054,    0.063,    2.148
54.9,    0.74,    0.5346,    0.0051,    0.0071,    111.855,    0.043,    1.085
56.9,    0.77,    -0.0030,    0.0000,    0.0041,    64.876,    0.025,    -0.004
