# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0830,    0.0263,    517.516,    0.206,    21.436
1.3,    0.02,    0.0526,    0.0811,    0.0260,    511.550,    0.204,    20.933
2.5,    0.03,    0.1037,    0.0790,    0.0257,    505.585,    0.201,    20.408
3.8,    0.05,    0.1531,    0.0769,    0.0254,    500.365,    0.199,    19.866
5.1,    0.07,    0.2006,    0.0748,    0.0251,    494.399,    0.197,    19.305
6.4,    0.08,    0.2461,    0.0725,    0.0248,    488.433,    0.194,    18.731
7.7,    0.10,    0.2897,    0.0702,    0.0245,    482.468,    0.192,    18.140
9.0,    0.12,    0.3312,    0.0679,    0.0242,    476.502,    0.189,    17.539
10.3,    0.13,    0.3709,    0.0656,    0.0238,    469.045,    0.187,    16.934
11.6,    0.15,    0.4085,    0.0631,    0.0234,    461.588,    0.184,    16.303
12.8,    0.17,    0.4441,    0.0606,    0.0230,    452.640,    0.180,    15.653
14.1,    0.19,    0.4777,    0.0580,    0.0225,    442.946,    0.176,    14.986
15.4,    0.20,    0.5094,    0.0554,    0.0220,    432.506,    0.172,    14.301
16.7,    0.22,    0.5391,    0.0527,    0.0214,    421.320,    0.168,    13.603
18.0,    0.24,    0.5667,    0.0499,    0.0208,    408.644,    0.163,    12.886
19.3,    0.25,    0.5919,    0.0471,    0.0201,    395.967,    0.157,    12.153
20.6,    0.27,    0.6140,    0.0441,    0.0194,    381.798,    0.152,    11.401
21.9,    0.29,    0.6335,    0.0412,    0.0186,    366.139,    0.146,    10.631
23.1,    0.30,    0.6505,    0.0381,    0.0178,    349.733,    0.139,    9.844
24.4,    0.32,    0.6648,    0.0350,    0.0169,    331.836,    0.132,    9.034
25.7,    0.34,    0.6758,    0.0318,    0.0159,    312.448,    0.124,    8.211
27.0,    0.35,    0.6820,    0.0285,    0.0148,    291.569,    0.116,    7.371
28.3,    0.37,    0.6819,    0.0252,    0.0137,    269.943,    0.107,    6.512
29.5,    0.39,    0.6734,    0.0218,    0.0126,    247.572,    0.098,    5.636
30.8,    0.40,    0.6538,    0.0184,    0.0114,    223.710,    0.089,    4.742
32.1,    0.42,    0.6184,    0.0148,    0.0101,    199.102,    0.079,    3.830
33.4,    0.44,    0.5590,    0.0112,    0.0088,    173.002,    0.069,    2.900
34.7,    0.46,    0.4614,    0.0075,    0.0074,    146.157,    0.058,    1.948
36.0,    0.47,    0.2949,    0.0038,    0.0060,    118.566,    0.047,    0.974
37.2,    0.49,    -0.0054,    -0.0001,    0.0048,    93.958,    0.037,    -0.013
