# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1079,    0.0441,    3.728,    0.005,    0.583
0.4,    0.03,    0.0605,    0.1067,    0.0445,    3.728,    0.006,    0.574
0.7,    0.05,    0.1187,    0.1054,    0.0449,    3.728,    0.006,    0.569
1.1,    0.08,    0.1744,    0.1039,    0.0452,    3.728,    0.006,    0.560
1.5,    0.10,    0.2276,    0.1022,    0.0454,    3.728,    0.006,    0.552
1.8,    0.13,    0.2782,    0.1003,    0.0456,    3.728,    0.006,    0.538
2.2,    0.15,    0.3262,    0.0982,    0.0456,    3.728,    0.006,    0.529
2.5,    0.18,    0.3716,    0.0959,    0.0456,    3.728,    0.006,    0.516
2.9,    0.20,    0.4142,    0.0933,    0.0455,    3.728,    0.006,    0.503
3.3,    0.23,    0.4540,    0.0905,    0.0453,    3.728,    0.006,    0.489
3.7,    0.25,    0.4909,    0.0874,    0.0450,    3.728,    0.006,    0.472
4.0,    0.28,    0.5248,    0.0842,    0.0446,    3.728,    0.006,    0.454
4.4,    0.30,    0.5556,    0.0806,    0.0440,    3.728,    0.005,    0.436
4.7,    0.33,    0.5833,    0.0767,    0.0432,    3.728,    0.005,    0.414
5.1,    0.35,    0.6078,    0.0727,    0.0423,    2.983,    0.005,    0.391
5.5,    0.38,    0.6293,    0.0686,    0.0413,    2.983,    0.005,    0.369
5.9,    0.40,    0.6478,    0.0644,    0.0401,    2.983,    0.005,    0.347
6.2,    0.43,    0.6637,    0.0600,    0.0389,    2.983,    0.005,    0.325
6.6,    0.45,    0.6769,    0.0556,    0.0374,    2.983,    0.005,    0.298
6.9,    0.48,    0.6878,    0.0511,    0.0356,    2.983,    0.004,    0.276
7.3,    0.51,    0.6965,    0.0464,    0.0337,    2.983,    0.004,    0.249
7.7,    0.53,    0.7029,    0.0416,    0.0314,    2.237,    0.004,    0.222
8.0,    0.56,    0.7060,    0.0367,    0.0289,    2.237,    0.004,    0.196
8.4,    0.58,    0.7050,    0.0317,    0.0261,    2.237,    0.003,    0.169
8.8,    0.61,    0.6981,    0.0266,    0.0231,    1.491,    0.003,    0.142
9.2,    0.63,    0.6780,    0.0213,    0.0199,    1.491,    0.002,    0.116
9.5,    0.66,    0.6366,    0.0161,    0.0166,    1.491,    0.002,    0.085
9.9,    0.68,    0.5567,    0.0107,    0.0132,    0.746,    0.002,    0.058
10.2,    0.71,    0.3912,    0.0054,    0.0097,    0.746,    0.001,    0.031
10.6,    0.73,    -0.0026,    0.0000,    0.0065,    0.746,    0.001,    0.000
