# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1049,0.2062,3794.121,6.038,44.687
2.1,0.05,0.0249,0.1055,0.2015,3707.620,5.901,44.963
4.1,0.10,0.0514,0.1062,0.1968,3620.373,5.762,45.230
6.2,0.14,0.0794,0.1067,0.1921,3533.872,5.624,45.479
8.2,0.19,0.1093,0.1073,0.1869,3439.168,5.474,45.701
10.3,0.24,0.1410,0.1077,0.1819,3345.955,5.325,45.888
12.3,0.29,0.1749,0.1080,0.1765,3246.777,5.168,46.021
14.4,0.33,0.2108,0.1082,0.1711,3147.599,5.009,46.106
16.5,0.38,0.2492,0.1083,0.1655,3045.438,4.847,46.137
18.5,0.43,0.2902,0.1082,0.1597,2938.803,4.677,46.079
20.6,0.48,0.3340,0.1078,0.1537,2827.694,4.501,45.937
22.6,0.52,0.3808,0.1073,0.1475,2714.348,4.320,45.701
24.7,0.57,0.4309,0.1064,0.1411,2596.527,4.132,45.341
26.7,0.62,0.4840,0.1051,0.1345,2473.486,3.937,44.789
28.8,0.67,0.5400,0.1033,0.1275,2345.972,3.734,44.015
30.8,0.71,0.5986,0.1009,0.1204,2213.983,3.524,42.983
32.9,0.76,0.6593,0.0978,0.1130,2079.757,3.310,41.675
35.0,0.81,0.7207,0.0939,0.1055,1940.311,3.089,40.012
37.0,0.86,0.7795,0.0889,0.0978,1798.628,2.863,37.890
39.1,0.90,0.8310,0.0826,0.0899,1654.708,2.633,35.194
41.1,0.95,0.8671,0.0745,0.0818,1505.568,2.396,31.743
43.2,1.00,0.8823,0.0666,0.0755,1388.493,2.210,28.380
45.2,1.05,0.8899,0.0586,0.0690,1269.927,2.021,24.986
47.3,1.10,0.8893,0.0506,0.0623,1145.395,1.823,21.543
49.4,1.14,0.8761,0.0423,0.0552,1015.643,1.617,18.033
51.4,1.19,0.8442,0.0340,0.0479,881.417,1.402,14.470
53.5,1.24,0.7896,0.0257,0.0403,741.971,1.180,10.956
55.5,1.29,0.6813,0.0172,0.0324,596.560,0.949,7.317
57.6,1.33,0.4686,0.0085,0.0242,445.929,0.710,3.630
59.6,1.38,0.0021,0.0000,0.0159,293.060,0.466,0.009
