# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1232,    0.0602,    246.827,    0.214,    12.379
1.1,    0.03,    0.0557,    0.1224,    0.0600,    246.081,    0.213,    12.299
2.2,    0.05,    0.1109,    0.1214,    0.0598,    245.335,    0.213,    12.201
3.4,    0.08,    0.1653,    0.1202,    0.0596,    243.844,    0.212,    12.081
4.5,    0.11,    0.2187,    0.1188,    0.0594,    243.098,    0.211,    11.939
5.6,    0.14,    0.2709,    0.1172,    0.0591,    241.607,    0.210,    11.774
6.7,    0.16,    0.3216,    0.1153,    0.0588,    240.861,    0.209,    11.588
7.8,    0.19,    0.3707,    0.1131,    0.0584,    239.370,    0.207,    11.370
8.9,    0.22,    0.4180,    0.1107,    0.0579,    237.133,    0.206,    11.129
10.0,    0.25,    0.4632,    0.1080,    0.0573,    234.895,    0.204,    10.854
11.1,    0.27,    0.5058,    0.1043,    0.0563,    230.421,    0.200,    10.480
12.2,    0.30,    0.5452,    0.0998,    0.0550,    225.201,    0.196,    10.031
13.4,    0.33,    0.5797,    0.0953,    0.0539,    220.727,    0.192,    9.581
14.5,    0.36,    0.6116,    0.0907,    0.0527,    215.507,    0.187,    9.119
15.6,    0.38,    0.6413,    0.0860,    0.0513,    210.287,    0.182,    8.638
16.7,    0.41,    0.6686,    0.0811,    0.0497,    203.576,    0.177,    8.149
17.8,    0.44,    0.6934,    0.0761,    0.0480,    196.119,    0.171,    7.646
18.9,    0.46,    0.7157,    0.0710,    0.0461,    188.662,    0.164,    7.135
20.0,    0.49,    0.7354,    0.0657,    0.0440,    179.714,    0.156,    6.606
21.1,    0.52,    0.7525,    0.0604,    0.0416,    170.765,    0.148,    6.067
22.3,    0.55,    0.7670,    0.0549,    0.0391,    160.325,    0.139,    5.516
23.4,    0.57,    0.7780,    0.0493,    0.0363,    149.140,    0.129,    4.951
24.5,    0.60,    0.7834,    0.0436,    0.0334,    137.209,    0.119,    4.381
25.6,    0.63,    0.7822,    0.0378,    0.0303,    124.532,    0.108,    3.794
26.7,    0.66,    0.7716,    0.0318,    0.0270,    110.364,    0.096,    3.194
27.9,    0.68,    0.7440,    0.0257,    0.0236,    96.195,    0.084,    2.580
28.9,    0.71,    0.6878,    0.0194,    0.0200,    82.027,    0.071,    1.948
30.0,    0.74,    0.5851,    0.0130,    0.0164,    67.113,    0.058,    1.308
31.2,    0.77,    0.3937,    0.0065,    0.0127,    52.199,    0.045,    0.658
32.3,    0.79,    -0.0012,    0.0000,    0.0090,    36.539,    0.032,    0.000
