         10x12WE                  (10x12WE.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 03/09/2021                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
        60.8        1.07      0.8214      0.0841      0.1095       0.190       1.998       0.965     141.866       0.226       4.290       3.084        0.25      87733.  
        63.7        1.12      0.8253      0.0743      0.1009       0.175       1.841       0.852     130.713       0.208       3.791       2.957        0.25      88461.  
        66.5        1.17      0.8249      0.0644      0.0914       0.159       1.668       0.738     118.395       0.188       3.283       2.827        0.25      89216.  
        69.4        1.22      0.8253      0.0545      0.0807       0.140       1.473       0.625     104.573       0.166       2.780       2.711        0.26      89997.  
        72.3        1.27      0.8104      0.0441      0.0693       0.120       1.265       0.506      89.819       0.143       2.251       2.556        0.26      90805.  
        75.2        1.32      0.7778      0.0335      0.0570       0.099       1.040       0.384      73.856       0.118       1.708       2.358        0.26      91639.  
        78.1        1.37      0.7058      0.0225      0.0439       0.076       0.802       0.259      56.907       0.091       1.150       2.061        0.26      92497.  
        81.0        1.43      0.5398      0.0114      0.0300       0.052       0.548       0.130      38.889       0.062       0.580       1.520        0.26      93379.  
        83.9        1.48     -0.0006      0.0000      0.0153       0.027       0.280       0.000      19.856       0.032       0.000      -0.001        0.26      94284.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       7000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1408      0.0728       0.201       1.808       2.198     149.761       0.204       9.775       6.656        0.28      93205.  
         3.4        0.05      0.0939      0.1409      0.0764       0.211       1.898       2.200     157.218       0.214       9.786       6.347        0.28      93227.  
         6.8        0.10      0.1791      0.1411      0.0803       0.222       1.994       2.203     165.184       0.225       9.799       6.049        0.28      93292.  
        10.1        0.15      0.2559      0.1414      0.0844       0.233       2.097       2.207     173.670       0.237       9.815       5.763        0.28      93401.  
        13.5        0.20      0.3250      0.1416      0.0888       0.245       2.206       2.211     182.679       0.249       9.834       5.490        0.28      93553.  
        16.9        0.25      0.3871      0.1420      0.0934       0.258       2.320       2.216     192.149       0.262       9.856       5.230        0.28      93748.  
        20.3        0.31      0.4428      0.1422      0.0982       0.271       2.438       2.220     201.955       0.275       9.875       4.986        0.28      93985.  
        23.6        0.36      0.4928      0.1425      0.1031       0.284       2.561       2.224     212.084       0.289       9.893       4.756        0.28      94266.  
        27.0        0.41      0.5376      0.1427      0.1081       0.298       2.686       2.227     222.490       0.304       9.907       4.541        0.28      94588.  
        30.4        0.46      0.5778      0.1428      0.1133       0.313       2.815       2.230     233.155       0.318       9.918       4.338        0.28      94952.  
        33.8        0.51      0.6137      0.1429      0.1186       0.327       2.945       2.230     243.949       0.333       9.920       4.147        0.28      95357.  
        37.1        0.56      0.6459      0.1427      0.1238       0.342       3.076       2.228     254.723       0.347       9.910       3.967        0.28      95803.  
        40.5        0.61      0.6746      0.1423      0.1289       0.356       3.202       2.220     265.157       0.362       9.877       3.798        0.28      96289.  
        43.9        0.66      0.7003      0.1410      0.1333       0.368       3.311       2.201     274.220       0.374       9.788       3.640        0.28      96814.  
        47.3        0.71      0.7234      0.1384      0.1364       0.376       3.388       2.160     280.618       0.383       9.608       3.491        0.28      97379.  
        50.6        0.76      0.7437      0.1343      0.1380       0.381       3.428       2.097     283.881       0.387       9.326       3.350        0.29      97981.  
        54.0        0.81      0.7612      0.1287      0.1378       0.380       3.423       2.009     283.486       0.387       8.937       3.215        0.29      98621.  
        57.4        0.87      0.7768      0.1215      0.1354       0.374       3.364       1.897     278.628       0.380       8.436       3.087        0.29      99298.  
        60.8        0.92      0.7964      0.1130      0.1300       0.359       3.230       1.763     267.494       0.365       7.842       2.990        0.29     100010.  
        64.1        0.97      0.8105      0.1038      0.1239       0.342       3.079       1.620     254.981       0.348       7.207       2.882        0.29     100758.  
        67.5        1.02      0.8222      0.0945      0.1170       0.323       2.907       1.475     240.792       0.328       6.559       2.778        0.29     101541.  
        70.9        1.07      0.8318      0.0849      0.1092       0.301       2.712       1.325     224.640       0.306       5.896       2.676        0.29     102357.  
        74.3        1.12      0.8362      0.0751      0.1006       0.278       2.499       1.172     206.971       0.282       5.213       2.568        0.29     103206.  
        77.6        1.17      0.8365      0.0651      0.0911       0.251       2.264       1.016     187.469       0.256       4.518       2.457        0.30     104087.  
        81.0        1.22      0.8310      0.0549      0.0807       0.223       2.004       0.856     165.984       0.226       3.808       2.340        0.30     104999.  
        84.4        1.27      0.8183      0.0444      0.0692       0.191       1.718       0.694     142.280       0.194       3.086       2.212        0.30     105942.  
        87.8        1.32      0.7862      0.0338      0.0569       0.157       1.412       0.527     116.983       0.160       2.344       2.043        0.30     106914.  
        91.1        1.38      0.7147      0.0228      0.0438       0.121       1.089       0.356      90.161       0.123       1.581       1.789        0.30     107915.  
        94.5        1.43      0.5477      0.0115      0.0299       0.083       0.743       0.179      61.530       0.084       0.798       1.322        0.30     108944.  
        97.9        1.48     -0.0008      0.0000      0.0152       0.042       0.379       0.000      31.371       0.043      -0.001      -0.002        0.31     110001.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       8000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1401      0.0717       0.295       2.328       2.856     220.323       0.263      12.704       5.880        0.32     106520.  
         3.9        0.05      0.0948      0.1402      0.0754       0.310       2.445       2.859     231.431       0.276      12.718       5.604        0.32     106545.  
         7.7        0.10      0.1805      0.1404      0.0792       0.326       2.571       2.863     243.340       0.290      12.736       5.337        0.32     106619.  
        11.6        0.15      0.2578      0.1407      0.0834       0.343       2.705       2.869     256.062       0.306      12.759       5.081        0.32     106743.  
        15.4        0.20      0.3272      0.1410      0.0878       0.362       2.848       2.875     269.602       0.322      12.788       4.837        0.32     106917.  
        19.3        0.25      0.3894      0.1414      0.0924       0.381       3.000       2.883     283.935       0.339      12.822       4.605        0.32     107140.  
        23.1        0.31      0.4451      0.1418      0.0973       0.401       3.157       2.890     298.832       0.357      12.855       4.386        0.32     107412.  
        27.0        0.36      0.4950      0.1421      0.1023       0.421       3.320       2.897     314.237       0.375      12.886       4.182        0.32     107732.  
        30.9        0.41      0.5398      0.1424      0.1075       0.443       3.487       2.903     330.062       0.394      12.914       3.990        0.32     108100.  
        34.7        0.46      0.5798      0.1427      0.1128       0.464       3.659       2.909     346.298       0.413      12.938       3.810        0.32     108516.  
        38.6        0.51      0.6157      0.1428      0.1181       0.486       3.833       2.912     362.779       0.433      12.953       3.641        0.32     108979.  
        42.4        0.56      0.6479      0.1428      0.1235       0.509       4.007       2.912     379.270       0.453      12.953       3.483        0.32     109488.  
        46.3        0.61      0.6778      0.1427      0.1286       0.530       4.173       2.908     394.948       0.471      12.936       3.340        0.32     110043.  
        50.1        0.66      0.7038      0.1416      0.1332       0.548       4.321       2.887     409.003       0.488      12.841       3.201        0.32     110643.  
        54.0        0.71      0.7273      0.1392      0.1364       0.562       4.427       2.838     419.003       0.500      12.623       3.072        0.33     111288.  
        57.9        0.76      0.7482      0.1352      0.1380       0.569       4.479       2.757     423.981       0.506      12.263       2.949        0.33     111976.  
        61.7        0.81      0.7667      0.1299      0.1380       0.568       4.478       2.648     423.872       0.506      11.778       2.833        0.33     112707.  
        65.6        0.87      0.7827      0.1226      0.1356       0.559       4.401       2.501     416.596       0.497      11.122       2.722        0.33     113481.  
        69.4        0.92      0.7992      0.1138      0.1305       0.537       4.233       2.319     400.717       0.478      10.316       2.625        0.33     114295.  
        73.3        0.97      0.8135      0.1046      0.1244       0.512       4.036       2.132     382.013       0.456       9.484       2.532        0.33     115149.  
        77.1        1.02      0.8255      0.0952      0.1175       0.484       3.812       1.941     360.795       0.431       8.635       2.440        0.33     116043.  
        81.0        1.07      0.8342      0.0856      0.1097       0.452       3.561       1.746     337.042       0.402       7.764       2.349        0.34     116975.  
        84.9        1.12      0.8387      0.0757      0.1011       0.417       3.282       1.544     310.624       0.371       6.867       2.254        0.34     117945.  
        88.7        1.17      0.8389      0.0656      0.0916       0.377       2.973       1.338     281.360       0.336       5.951       2.157        0.34     118952.  
        92.6        1.22      0.8334      0.0553      0.0812       0.334       2.633       1.128     249.254       0.298       5.019       2.053        0.34     119994.  
        96.4        1.27      0.8188      0.0448      0.0697       0.287       2.262       0.914     214.105       0.256       4.066       1.937        0.34     121071.  
       100.3        1.32      0.7872      0.0341      0.0573       0.236       1.860       0.695     176.025       0.210       3.090       1.790        0.34     122182.  
       104.2        1.37      0.7167      0.0230      0.0441       0.182       1.431       0.469     135.485       0.162       2.085       1.570        0.35     123326.  
       108.0        1.43      0.5476      0.0116      0.0302       0.124       0.979       0.236      92.684       0.111       1.051       1.157        0.35     124502.  
       111.9        1.48     -0.0006      0.0000      0.0156       0.064       0.506       0.000      47.884       0.057      -0.001      -0.001        0.35     125709.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       9000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1409      0.0729       0.427       2.993       3.637     318.673       0.338      16.177       5.176        0.36     119835.  
         4.3        0.05      0.0940      0.1411      0.0765       0.448       3.141       3.641     334.446       0.355      16.195       4.938        0.36     119863.  
         8.7        0.10      0.1792      0.1413      0.0803       0.471       3.300       3.646     351.361       0.373      16.219       4.707        0.36     119947.  
        13.0        0.15      0.2561      0.1416      0.0845       0.495       3.469       3.653     369.432       0.392      16.248       4.485        0.36     120087.  
        17.4        0.20      0.3253      0.1419      0.0889       0.521       3.650       3.661     388.665       0.412      16.286       4.273        0.36     120282.  
        21.7        0.25      0.3879      0.1423      0.0935       0.548       3.838       3.672     408.739       0.434      16.334       4.075        0.36     120533.  
        26.1        0.31      0.4437      0.1427      0.0983       0.577       4.037       3.682     429.914       0.456      16.379       3.885        0.36     120839.  
        30.4        0.36      0.4939      0.1431      0.1033       0.606       4.243       3.692     451.772       0.479      16.422       3.707        0.36     121200.  
        34.7        0.41      0.5390      0.1434      0.1085       0.636       4.454       3.701     474.263       0.503      16.461       3.539        0.36     121614.  
        39.1        0.46      0.5795      0.1437      0.1137       0.667       4.670       3.709     497.338       0.528      16.496       3.382        0.36     122083.  
        43.4        0.51      0.6158      0.1439      0.1191       0.698       4.891       3.714     520.823       0.553      16.521       3.235        0.36     122604.  
        47.8        0.56      0.6483      0.1440      0.1245       0.730       5.112       3.716     544.349       0.578      16.527       3.096        0.36     123178.  
        52.1        0.61      0.6774      0.1438      0.1297       0.761       5.328       3.709     567.356       0.602      16.499       2.965        0.36     123803.  
        56.4        0.66      0.7034      0.1428      0.1344       0.788       5.520       3.684     587.824       0.624      16.385       2.842        0.36     124479.  
        60.8        0.71      0.7269      0.1404      0.1377       0.808       5.657       3.622     602.355       0.639      16.112       2.728        0.37     125205.  
        65.1        0.76      0.7476      0.1364      0.1394       0.818       5.725       3.519     609.646       0.647      15.653       2.618        0.37     125980.  
        69.5        0.82      0.7655      0.1307      0.1392       0.816       5.717       3.374     608.825       0.646      15.006       2.513        0.37     126804.  
        73.8        0.87      0.7817      0.1234      0.1367       0.802       5.614       3.184     597.802       0.634      14.160       2.415        0.37     127674.  
        78.2        0.92      0.7985      0.1144      0.1314       0.770       5.395       2.951     574.465       0.609      13.127       2.330        0.37     128591.  
        82.5        0.97      0.8130      0.1052      0.1252       0.734       5.143       2.714     547.673       0.581      12.072       2.248        0.37     129553.  
        86.8        1.02      0.8252      0.0958      0.1183       0.694       4.857       2.471     517.180       0.549      10.993       2.167        0.38     130560.  
        91.2        1.07      0.8343      0.0861      0.1105       0.648       4.536       2.223     483.061       0.513       9.887       2.087        0.38     131610.  
        95.5        1.12      0.8388      0.0762      0.1018       0.597       4.180       1.966     445.112       0.472       8.743       2.003        0.38     132702.  
        99.9        1.17      0.8447      0.0661      0.0917       0.538       3.767       1.706     401.178       0.426       7.590       1.929        0.38     133836.  
       104.2        1.22      0.8441      0.0559      0.0809       0.475       3.323       1.442     353.894       0.375       6.412       1.848        0.38     135010.  
       108.6        1.27      0.8318      0.0453      0.0694       0.407       2.848       1.169     303.286       0.322       5.199       1.748        0.39     136222.  
       112.9        1.32      0.8033      0.0345      0.0569       0.334       2.336       0.890     248.712       0.264       3.959       1.623        0.39     137474.  
       117.2        1.38      0.7354      0.0232      0.0434       0.254       1.780       0.598     189.587       0.201       2.660       1.431        0.39     138762.  
       121.6        1.43      0.5667      0.0116      0.0293       0.172       1.202       0.300     127.993       0.136       1.334       1.063        0.39     140086.  
       125.9        1.48     -0.0012      0.0000      0.0144       0.085       0.592       0.000      63.068       0.067      -0.001      -0.002        0.39     141445.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      10000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1418      0.0744       0.598       3.771       4.516     446.234       0.426      20.089       4.591        0.40     133150.  
         4.8        0.05      0.0928      0.1419      0.0779       0.627       3.951       4.522     467.455       0.446      20.112       4.387        0.40     133181.  
         9.6        0.10      0.1772      0.1422      0.0817       0.657       4.143       4.528     490.222       0.468      20.143       4.190        0.40     133274.  
        14.5        0.15      0.2538      0.1424      0.0858       0.690       4.349       4.537     514.552       0.491      20.182       3.999        0.40     133430.  
        19.3        0.20      0.3229      0.1428      0.0901       0.725       4.568       4.548     540.460       0.516      20.230       3.817        0.40     133647.  
        24.1        0.25      0.3852      0.1432      0.0947       0.762       4.800       4.561     567.951       0.542      20.288       3.643        0.40     133926.  
        28.9        0.31      0.4413      0.1436      0.0995       0.800       5.044       4.575     596.754       0.570      20.350       3.477        0.40     134266.  
        33.8        0.36      0.4918      0.1440      0.1044       0.840       5.295       4.588     626.479       0.598      20.407       3.322        0.40     134666.  
        38.6        0.41      0.5373      0.1444      0.1095       0.881       5.553       4.600     657.065       0.627      20.461       3.175        0.40     135127.  
        43.4        0.46      0.5779      0.1447      0.1148       0.924       5.822       4.611     688.829       0.658      20.508       3.036        0.40     135647.  
        48.2        0.51      0.6144      0.1450      0.1202       0.967       6.096       4.619     721.236       0.689      20.545       2.905        0.40     136226.  
        53.1        0.56      0.6482      0.1451      0.1255       1.009       6.362       4.623     752.689       0.719      20.565       2.786        0.40     136864.  
        57.9        0.61      0.6773      0.1450      0.1309       1.053       6.634       4.618     784.930       0.750      20.542       2.669        0.40     137558.  
        62.7        0.66      0.7033      0.1441      0.1357       1.091       6.878       4.589     813.794       0.777      20.414       2.558        0.41     138309.  
        67.5        0.71      0.7268      0.1417      0.1391       1.119       7.050       4.514     834.182       0.797      20.078       2.454        0.41     139116.  
        72.4        0.76      0.7473      0.1376      0.1407       1.132       7.135       4.384     844.191       0.806      19.501       2.356        0.41     139977.  
        77.2        0.82      0.7664      0.1319      0.1403       1.129       7.115       4.203     841.780       0.804      18.696       2.265        0.41     140892.  
        82.0        0.87      0.7850      0.1245      0.1373       1.105       6.962       3.965     823.771       0.787      17.637       2.183        0.41     141859.  
        86.8        0.92      0.8032      0.1155      0.1318       1.061       6.684       3.679     790.884       0.755      16.364       2.110        0.41     142878.  
        91.7        0.97      0.8196      0.1063      0.1255       1.010       6.364       3.386     752.927       0.719      15.059       2.040        0.42     143947.  
        96.5        1.02      0.8339      0.0969      0.1183       0.952       6.000       3.086     709.932       0.678      13.725       1.971        0.42     145066.  
       101.3        1.07      0.8459      0.0872      0.1103       0.887       5.592       2.778     661.675       0.632      12.358       1.904        0.42     146232.  
       106.1        1.12      0.8522      0.0772      0.1015       0.817       5.147       2.459     608.983       0.582      10.938       1.832        0.42     147446.  
       111.0        1.17      0.8568      0.0670      0.0917       0.738       4.649       2.136     550.024       0.525       9.500       1.761        0.42     148705.  
       115.8        1.22      0.8543      0.0566      0.0810       0.652       4.108       1.803     486.007       0.464       8.021       1.683        0.43     150009.  
       120.6        1.27      0.8441      0.0460      0.0694       0.558       3.516       1.464     416.059       0.397       6.514       1.596        0.43     151356.  
       125.4        1.32      0.8184      0.0350      0.0567       0.456       2.873       1.115     339.894       0.325       4.960       1.488        0.43     152746.  
       130.3        1.38      0.7542      0.0237      0.0432       0.347       2.189       0.754     258.974       0.247       3.354       1.321        0.43     154178.  
       135.1        1.43      0.5849      0.0120      0.0292       0.235       1.479       0.381     174.987       0.167       1.695       0.988        0.44     155649.  
       139.9        1.48     -0.0013      0.0000      0.0148       0.119       0.753       0.000      89.053       0.085      -0.002      -0.002        0.44     157159.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      11000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1427      0.0755       0.809       4.634       5.499     603.175       0.524      24.457       4.135        0.44     146465.  
         5.3        0.05      0.0922      0.1428      0.0790       0.846       4.845       5.505     630.522       0.547      24.488       3.960        0.44     146499.  
        10.6        0.10      0.1764      0.1431      0.0827       0.885       5.070       5.514     659.901       0.573      24.527       3.790        0.44     146602.  
        15.9        0.15      0.2531      0.1433      0.0866       0.927       5.312       5.525     691.339       0.600      24.577       3.625        0.44     146773.  
        21.2        0.20      0.3226      0.1437      0.0908       0.972       5.569       5.539     724.826       0.629      24.638       3.466        0.44     147012.  
        26.5        0.25      0.3856      0.1441      0.0952       1.020       5.842       5.556     760.357       0.660      24.712       3.314        0.44     147318.  
        31.8        0.31      0.4425      0.1446      0.0999       1.070       6.130       5.575     797.769       0.693      24.796       3.169        0.44     147692.  
        37.2        0.36      0.4936      0.1451      0.1048       1.122       6.431       5.592     837.002       0.727      24.875       3.030        0.44     148133.  
        42.5        0.41      0.5393      0.1455      0.1100       1.178       6.747       5.609     878.156       0.762      24.948       2.897        0.44     148640.  
        47.8        0.46      0.5802      0.1459      0.1153       1.235       7.074       5.623     920.616       0.799      25.012       2.770        0.44     149213.  
        53.1        0.51      0.6168      0.1462      0.1208       1.293       7.409       5.635     964.280       0.837      25.066       2.651        0.44     149850.  
        58.4        0.56      0.6495      0.1464      0.1263       1.352       7.748       5.641    1008.416       0.875      25.093       2.537        0.44     150552.  
        63.7        0.61      0.6785      0.1463      0.1318       1.411       8.086       5.638    1052.432       0.914      25.078       2.430        0.44     151316.  
        69.0        0.66      0.7042      0.1455      0.1368       1.465       8.395       5.608    1092.629       0.948      24.945       2.328        0.45     152142.  
        74.3        0.71      0.7274      0.1432      0.1404       1.504       8.615       5.520    1121.206       0.973      24.552       2.233        0.45     153030.  
        79.6        0.76      0.7473      0.1390      0.1422       1.523       8.724       5.360    1135.376       0.986      23.840       2.141        0.45     153978.  
        84.9        0.82      0.7654      0.1331      0.1418       1.518       8.699       5.131    1132.121       0.983      22.825       2.056        0.45     154984.  
        90.2        0.87      0.7820      0.1254      0.1389       1.487       8.523       4.835    1109.223       0.963      21.504       1.977        0.45     156048.  
        95.5        0.92      0.8024      0.1165      0.1331       1.425       8.166       4.489    1062.774       0.923      19.966       1.916        0.45     157169.  
       100.8        0.97      0.8204      0.1072      0.1265       1.355       7.763       4.133    1010.311       0.877      18.385       1.856        0.46     158346.  
       106.2        1.02      0.8373      0.0978      0.1191       1.275       7.306       3.771     950.807       0.825      16.775       1.799        0.46     159576.  
       111.5        1.07      0.8517      0.0882      0.1108       1.186       6.796       3.399     884.481       0.768      15.118       1.743        0.46     160860.  
       116.8        1.12      0.8594      0.0781      0.1019       1.091       6.248       3.010     813.220       0.706      13.388       1.679        0.46     162195.  
       122.1        1.17      0.8625      0.0677      0.0920       0.986       5.647       2.611     734.943       0.638      11.616       1.612        0.47     163581.  
       127.4        1.22      0.8607      0.0572      0.0813       0.870       4.986       2.205     648.973       0.563       9.809       1.541        0.47     165016.  
       132.7        1.27      0.8515      0.0465      0.0695       0.744       4.264       1.791     554.933       0.482       7.966       1.464        0.47     166499.  
       138.0        1.32      0.8277      0.0354      0.0567       0.607       3.478       1.365     452.596       0.393       6.072       1.368        0.47     168028.  
       143.3        1.38      0.7671      0.0240      0.0430       0.461       2.639       0.924     343.439       0.298       4.112       1.221        0.48     169603.  
       148.6        1.43      0.6006      0.0122      0.0291       0.311       1.783       0.472     232.039       0.201       2.097       0.922        0.48     171222.  
       153.9        1.48     -0.0013      0.0000      0.0152       0.163       0.933      -0.001     121.365       0.105      -0.002      -0.002        0.48     172883.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      12000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1434      0.0785       1.091       5.728       6.578     813.246       0.647      29.257       3.669        0.48     159780.  
         5.8        0.05      0.0896      0.1436      0.0816       1.135       5.959       6.586     846.119       0.673      29.296       3.531        0.48     159817.  
        11.6        0.10      0.1723      0.1438      0.0850       1.182       6.209       6.598     881.564       0.701      29.346       3.394        0.48     159929.  
        17.4        0.15      0.2483      0.1441      0.0887       1.233       6.477       6.612     919.629       0.732      29.409       3.261        0.48     160116.  
        23.2        0.20      0.3180      0.1445      0.0926       1.288       6.762       6.629     960.121       0.764      29.487       3.132        0.48     160376.  
        28.9        0.25      0.3816      0.1450      0.0968       1.345       7.065       6.650    1003.154       0.798      29.581       3.007        0.48     160711.  
        34.7        0.31      0.4396      0.1455      0.1012       1.407       7.388       6.675    1048.973       0.835      29.692       2.886        0.48     161119.  
        40.5        0.36      0.4917      0.1461      0.1060       1.473       7.735       6.700    1098.270       0.874      29.801       2.767        0.48     161600.  
        46.3        0.41      0.5382      0.1465      0.1110       1.543       8.103       6.722    1150.432       0.915      29.901       2.650        0.48     162153.  
        52.1        0.46      0.5798      0.1470      0.1163       1.616       8.488       6.743    1205.079       0.959      29.991       2.538        0.48     162778.  
        57.9        0.51      0.6166      0.1474      0.1218       1.692       8.889       6.759    1262.087       1.004      30.066       2.429        0.48     163473.  
        63.7        0.56      0.6493      0.1476      0.1274       1.771       9.301       6.770    1320.498       1.051      30.113       2.325        0.48     164238.  
        69.5        0.61      0.6788      0.1476      0.1329       1.848       9.706       6.771    1378.114       1.097      30.118       2.229        0.48     165072.  
        75.3        0.66      0.7043      0.1470      0.1383       1.922      10.093       6.743    1433.067       1.140      29.994       2.134        0.49     165973.  
        81.1        0.71      0.7271      0.1448      0.1421       1.975      10.373       6.644    1472.823       1.172      29.551       2.046        0.49     166941.  
        86.8        0.76      0.7479      0.1408      0.1439       2.000      10.503       6.458    1491.185       1.187      28.724       1.964        0.49     167975.  
        92.6        0.82      0.7668      0.1349      0.1434       1.994      10.473       6.190    1486.952       1.183      27.533       1.888        0.49     169073.  
        98.4        0.87      0.7859      0.1273      0.1403       1.950      10.239       5.838    1453.799       1.157      25.965       1.821        0.49     170234.  
       104.2        0.92      0.8050      0.1181      0.1345       1.870       9.820       5.416    1394.257       1.109      24.088       1.762        0.50     171457.  
       110.0        0.97      0.8246      0.1087      0.1276       1.774       9.315       4.985    1322.508       1.052      22.175       1.710        0.50     172740.  
       115.8        1.02      0.8407      0.0991      0.1201       1.669       8.767       4.544    1244.783       0.991      20.214       1.656        0.50     174082.  
       121.6        1.07      0.8550      0.0892      0.1117       1.552       8.153       4.093    1157.620       0.921      18.208       1.604        0.50     175483.  
       127.4        1.12      0.8635      0.0790      0.1026       1.426       7.491       3.626    1063.595       0.846      16.128       1.546        0.51     176939.  
       133.2        1.17      0.8671      0.0686      0.0927       1.289       6.770       3.148     961.228       0.765      14.001       1.485        0.51     178451.  
       139.0        1.22      0.8687      0.0581      0.0818       1.137       5.970       2.665     847.621       0.674      11.853       1.426        0.51     180016.  
       144.7        1.27      0.8613      0.0473      0.0699       0.971       5.102       2.168     724.400       0.576       9.641       1.357        0.51     181633.  
       150.5        1.32      0.8405      0.0361      0.0569       0.791       4.157       1.657     590.213       0.470       7.371       1.274        0.52     183302.  
       156.3        1.38      0.7867      0.0246      0.0431       0.599       3.147       1.131     446.750       0.355       5.029       1.148        0.52     185020.  
       162.1        1.43      0.6174      0.0125      0.0289       0.401       2.108       0.573     299.295       0.238       2.550       0.869        0.52     186786.  
       167.9        1.48     -0.0016      0.0000      0.0150       0.209       1.096      -0.001     155.637       0.124      -0.003      -0.002        0.53     188598.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      13000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1441      0.0823       1.455       7.055       7.756    1085.075       0.797      34.498       3.242        0.52     173095.  
         6.3        0.05      0.0862      0.1443      0.0853       1.507       7.308       7.766    1124.065       0.826      34.545       3.134        0.52     173135.  
        12.6        0.10      0.1667      0.1445      0.0884       1.562       7.572       7.781    1164.698       0.856      34.612       3.030        0.52     173257.  
        18.8        0.15      0.2412      0.1449      0.0918       1.623       7.868       7.799    1210.256       0.889      34.689       2.923        0.52     173459.  
        25.1        0.20      0.3100      0.1453      0.0955       1.688       8.185       7.820    1258.945       0.925      34.785       2.817        0.52     173742.  
        31.4        0.25      0.3735      0.1457      0.0995       1.758       8.522       7.846    1310.741       0.963      34.900       2.715        0.52     174104.  
        37.7        0.31      0.4320      0.1463      0.1036       1.831       8.875       7.877    1365.134       1.003      35.037       2.617        0.52     174547.  
        43.9        0.36      0.4858      0.1470      0.1080       1.908       9.250       7.912    1422.710       1.045      35.193       2.522        0.52     175068.  
