         6.5x7.0                  (65x70.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 03/09/2021                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
         5.1        0.42      0.5535      0.1119      0.0840       0.001       0.020       0.025       0.468       0.002       0.113      24.694        0.05       8589.  
         5.7        0.46      0.5928      0.1120      0.0872       0.001       0.021       0.025       0.485       0.002       0.113      23.804        0.05       8620.  
         6.2        0.51      0.6272      0.1119      0.0906       0.001       0.021       0.025       0.504       0.002       0.113      22.894        0.05       8653.  
         6.8        0.55      0.6565      0.1117      0.0942       0.001       0.022       0.025       0.524       0.003       0.113      21.969        0.05       8689.  
         7.4        0.60      0.6809      0.1109      0.0977       0.001       0.023       0.025       0.544       0.003       0.112      21.032        0.05       8729.  
         8.0        0.65      0.7028      0.1092      0.1004       0.001       0.024       0.025       0.559       0.003       0.110      20.158        0.05       8771.  
         8.5        0.69      0.7223      0.1064      0.1019       0.001       0.024       0.024       0.568       0.003       0.108      19.335        0.05       8816.  
         9.1        0.74      0.7393      0.1020      0.1019       0.001       0.024       0.023       0.567       0.003       0.103      18.555        0.05       8865.  
         9.7        0.78      0.7547      0.0955      0.0993       0.001       0.023       0.022       0.553       0.003       0.097      17.826        0.05       8915.  
        10.2        0.83      0.7677      0.0883      0.0955       0.001       0.022       0.020       0.532       0.003       0.089      17.125        0.05       8969.  
        10.8        0.88      0.7779      0.0809      0.0912       0.001       0.021       0.018       0.508       0.002       0.082      16.441        0.05       9026.  
        11.4        0.92      0.7862      0.0734      0.0862       0.001       0.020       0.017       0.480       0.002       0.074      15.784        0.05       9085.  
        11.9        0.97      0.7918      0.0658      0.0805       0.001       0.019       0.015       0.448       0.002       0.067      15.140        0.05       9146.  
        12.5        1.02      0.7937      0.0580      0.0741       0.001       0.017       0.013       0.413       0.002       0.059      14.487        0.05       9211.  
        13.1        1.06      0.7908      0.0500      0.0672       0.001       0.016       0.011       0.374       0.002       0.051      13.807        0.05       9277.  
        13.6        1.11      0.7803      0.0420      0.0596       0.000       0.014       0.010       0.332       0.002       0.042      13.056        0.05       9347.  
        14.2        1.15      0.7581      0.0338      0.0515       0.000       0.012       0.008       0.287       0.001       0.034      12.176        0.05       9418.  
        14.8        1.20      0.7155      0.0255      0.0428       0.000       0.010       0.006       0.238       0.001       0.026      11.051        0.06       9492.  
        15.3        1.25      0.6343      0.0171      0.0335       0.000       0.008       0.004       0.187       0.001       0.017       9.433        0.06       9569.  
        15.9        1.29      0.4647      0.0085      0.0238       0.000       0.006       0.002       0.132       0.001       0.009       6.664        0.06       9647.  
        16.5        1.34      0.0000      0.0000      0.0138       0.000       0.003       0.000       0.077       0.000       0.000       0.000        0.06       9728.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1103      0.0636       0.002       0.034       0.056       1.194       0.004       0.251      21.432        0.08      12689.  
         0.9        0.05      0.0781      0.1104      0.0652       0.002       0.035       0.056       1.226       0.004       0.251      20.896        0.08      12691.  
         1.7        0.09      0.1520      0.1105      0.0671       0.002       0.036       0.057       1.261       0.004       0.252      20.351        0.08      12698.  
         2.6        0.14      0.2219      0.1107      0.0690       0.002       0.037       0.057       1.298       0.004       0.252      19.802        0.08      12710.  
         3.4        0.18      0.2876      0.1109      0.0711       0.002       0.038       0.057       1.337       0.004       0.252      19.251        0.08      12727.  
         4.3        0.23      0.3493      0.1111      0.0734       0.002       0.039       0.057       1.379       0.004       0.253      18.701        0.08      12749.  
         5.1        0.28      0.4069      0.1113      0.0757       0.002       0.040       0.057       1.423       0.005       0.253      18.153        0.08      12776.  
         6.0        0.32      0.4603      0.1115      0.0783       0.002       0.041       0.057       1.471       0.005       0.254      17.604        0.08      12807.  
         6.8        0.37      0.5093      0.1117      0.0810       0.002       0.043       0.057       1.522       0.005       0.254      17.043        0.08      12843.  
         7.7        0.42      0.5534      0.1119      0.0840       0.002       0.044       0.057       1.578       0.005       0.255      16.461        0.08      12884.  
         8.5        0.46      0.5927      0.1120      0.0872       0.002       0.046       0.057       1.639       0.005       0.255      15.866        0.08      12930.  
         9.4        0.51      0.6270      0.1120      0.0906       0.002       0.048       0.057       1.703       0.005       0.255      15.259        0.08      12980.  
        10.2        0.55      0.6563      0.1117      0.0942       0.002       0.050       0.057       1.771       0.006       0.254      14.642        0.08      13034.  
        11.1        0.60      0.6807      0.1109      0.0977       0.002       0.052       0.057       1.836       0.006       0.252      14.017        0.08      13093.  
        11.9        0.65      0.7026      0.1093      0.1004       0.003       0.053       0.056       1.888       0.006       0.249      13.435        0.08      13157.  
        12.8        0.69      0.7221      0.1064      0.1020       0.003       0.054       0.054       1.917       0.006       0.242      12.887        0.08      13225.  
        13.6        0.74      0.7392      0.1021      0.1020       0.003       0.054       0.052       1.916       0.006       0.232      12.368        0.08      13297.  
        14.5        0.78      0.7546      0.0956      0.0994       0.003       0.053       0.049       1.867       0.006       0.218      11.883        0.08      13373.  
        15.3        0.83      0.7676      0.0884      0.0956       0.002       0.051       0.045       1.797       0.006       0.201      11.416        0.08      13454.  
        16.2        0.88      0.7779      0.0810      0.0913       0.002       0.048       0.041       1.715       0.005       0.184      10.960        0.08      13538.  
        17.0        0.92      0.7862      0.0735      0.0863       0.002       0.046       0.038       1.621       0.005       0.167      10.523        0.08      13627.  
        17.9        0.97      0.7918      0.0658      0.0805       0.002       0.043       0.034       1.514       0.005       0.150      10.094        0.08      13720.  
        18.7        1.02      0.7938      0.0580      0.0742       0.002       0.039       0.030       1.395       0.004       0.132       9.659        0.08      13816.  
        19.6        1.06      0.7909      0.0501      0.0672       0.002       0.036       0.026       1.263       0.004       0.114       9.205        0.08      13916.  
        20.4        1.11      0.7804      0.0421      0.0597       0.002       0.032       0.022       1.121       0.004       0.096       8.705        0.08      14020.  
        21.3        1.15      0.7582      0.0339      0.0515       0.001       0.027       0.017       0.968       0.003       0.077       8.119        0.08      14128.  
        22.2        1.20      0.7158      0.0255      0.0428       0.001       0.023       0.013       0.805       0.003       0.058       7.370        0.08      14239.  
        23.0        1.25      0.6346      0.0171      0.0335       0.001       0.018       0.009       0.630       0.002       0.039       6.293        0.08      14353.  
        23.9        1.29      0.4650      0.0086      0.0238       0.001       0.013       0.004       0.447       0.001       0.019       4.446        0.08      14471.  
        24.7        1.34      0.0000      0.0000      0.0138       0.000       0.007       0.000       0.260       0.001       0.000       0.000        0.08      14592.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1103      0.0636       0.004       0.060       0.100       2.831       0.007       0.446      16.074        0.10      16918.  
         1.1        0.05      0.0781      0.1104      0.0652       0.004       0.061       0.100       2.906       0.007       0.447      15.672        0.10      16921.  
         2.3        0.09      0.1521      0.1105      0.0671       0.004       0.063       0.101       2.988       0.007       0.447      15.263        0.10      16931.  
         3.4        0.14      0.2219      0.1107      0.0691       0.004       0.065       0.101       3.076       0.007       0.448      14.851        0.10      16947.  
         4.5        0.18      0.2877      0.1109      0.0712       0.004       0.067       0.101       3.169       0.008       0.449      14.438        0.10      16970.  
         5.7        0.23      0.3493      0.1111      0.0734       0.004       0.069       0.101       3.269       0.008       0.450      14.025        0.10      16999.  
