# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1148,    0.0649,    0.000,    0.001,    0.085
0.2,    0.04,    0.0636,    0.1148,    0.0662,    0.000,    0.001,    0.085
0.4,    0.07,    0.1246,    0.1147,    0.0676,    0.000,    0.001,    0.085
0.6,    0.11,    0.1829,    0.1147,    0.0690,    0.000,    0.001,    0.085
0.8,    0.15,    0.2385,    0.1146,    0.0705,    0.000,    0.001,    0.085
0.9,    0.18,    0.2916,    0.1144,    0.0720,    0.000,    0.001,    0.085
1.1,    0.22,    0.3420,    0.1142,    0.0735,    0.000,    0.001,    0.085
1.3,    0.26,    0.3899,    0.1139,    0.0751,    0.000,    0.001,    0.085
1.5,    0.29,    0.4353,    0.1134,    0.0765,    0.000,    0.001,    0.085
1.7,    0.33,    0.4782,    0.1127,    0.0778,    0.000,    0.001,    0.085
1.9,    0.37,    0.5187,    0.1116,    0.0789,    0.000,    0.001,    0.080
2.1,    0.40,    0.5567,    0.1101,    0.0798,    0.000,    0.001,    0.080
2.2,    0.44,    0.5923,    0.1080,    0.0803,    0.000,    0.001,    0.080
2.4,    0.48,    0.6253,    0.1054,    0.0804,    0.000,    0.001,    0.076
2.6,    0.51,    0.6556,    0.1022,    0.0800,    0.000,    0.001,    0.076
2.8,    0.55,    0.6830,    0.0981,    0.0790,    0.000,    0.001,    0.071
3.0,    0.59,    0.7072,    0.0931,    0.0773,    0.000,    0.001,    0.067
3.2,    0.62,    0.7276,    0.0870,    0.0746,    0.000,    0.001,    0.062
3.4,    0.66,    0.7437,    0.0805,    0.0714,    0.000,    0.001,    0.058
3.5,    0.70,    0.7557,    0.0738,    0.0681,    0.000,    0.001,    0.053
3.7,    0.73,    0.7626,    0.0669,    0.0644,    0.000,    0.001,    0.049
3.9,    0.77,    0.7649,    0.0599,    0.0603,    0.000,    0.001,    0.044
4.1,    0.81,    0.7636,    0.0528,    0.0558,    0.000,    0.001,    0.040
4.3,    0.84,    0.7588,    0.0455,    0.0506,    0.000,    0.001,    0.036
4.5,    0.88,    0.7496,    0.0382,    0.0448,    0.000,    0.001,    0.027
4.6,    0.92,    0.7322,    0.0307,    0.0385,    0.000,    0.001,    0.022
4.8,    0.95,    0.6992,    0.0232,    0.0316,    0.000,    0.001,    0.018
5.1,    0.99,    0.6291,    0.0156,    0.0245,    0.000,    0.000,    0.013
5.2,    1.03,    0.4702,    0.0079,    0.0172,    0.000,    0.000,    0.004
5.4,    1.06,    -0.0020,    0.0000,    0.0098,    0.000,    0.000,    0.000
