# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.1346,0.2851,7353.346,5.852,56.942
2.7,0.04,0.0216,0.1352,0.2764,7129.636,5.673,57.226
5.4,0.09,0.0449,0.1358,0.2672,6892.504,5.485,57.475
8.1,0.13,0.0702,0.1363,0.2573,6637.475,5.282,57.667
10.8,0.18,0.0978,0.1366,0.2469,6369.023,5.068,57.800
13.5,0.22,0.1280,0.1367,0.2361,6090.131,4.846,57.858
16.2,0.27,0.1611,0.1367,0.2249,5801.545,4.617,57.836
18.9,0.31,0.1977,0.1364,0.2135,5506.248,4.382,57.729
21.5,0.35,0.2382,0.1359,0.2018,5204.985,4.142,57.516
24.2,0.40,0.2829,0.1351,0.1900,4900.740,3.900,57.182
27.0,0.44,0.3323,0.1341,0.1783,4598.731,3.660,56.728
29.6,0.49,0.3870,0.1326,0.1666,4297.468,3.420,56.119
32.3,0.53,0.4470,0.1308,0.1552,4002.917,3.185,55.349
35.0,0.57,0.5125,0.1286,0.1441,3718.060,2.959,54.402
37.7,0.62,0.5827,0.1258,0.1335,3443.642,2.740,53.205
40.4,0.66,0.6552,0.1219,0.1234,3181.901,2.532,51.595
43.1,0.71,0.7235,0.1164,0.1137,2933.583,2.335,49.246
45.8,0.75,0.7768,0.1095,0.1059,2730.753,2.173,46.315
48.5,0.80,0.8140,0.1017,0.0993,2562.225,2.039,43.010
51.2,0.84,0.8404,0.0932,0.0931,2401.154,1.911,39.429
53.9,0.88,0.8602,0.0845,0.0868,2239.337,1.782,35.755
56.6,0.93,0.8771,0.0758,0.0802,2068.571,1.646,32.076
59.3,0.97,0.8922,0.0670,0.0730,1882.146,1.498,28.331
62.0,1.02,0.9052,0.0580,0.0651,1678.570,1.336,24.523
64.6,1.06,0.9155,0.0488,0.0565,1457.098,1.159,20.631
67.4,1.10,0.9220,0.0393,0.0471,1213.999,0.966,16.623
70.1,1.15,0.9210,0.0297,0.0370,955.242,0.760,12.562
72.7,1.19,0.8957,0.0200,0.0266,687.535,0.547,8.465
75.4,1.24,0.7881,0.0101,0.0159,409.389,0.326,4.279
78.1,1.28,0.0032,0.0000,0.0051,130.497,0.104,0.004
