# V, J, eta_p, CT, CP, P, Q, T
0.0,0.00,0.0000,0.0946,0.0426,419.829,0.668,24.425
1.0,0.03,0.0565,0.0939,0.0421,413.863,0.659,24.261
1.9,0.05,0.1137,0.0930,0.0415,407.898,0.649,24.029
2.9,0.08,0.1710,0.0919,0.0408,401.932,0.639,23.736
3.8,0.10,0.2279,0.0905,0.0402,395.967,0.630,23.384
4.8,0.13,0.2835,0.0890,0.0397,390.747,0.622,22.975
5.8,0.15,0.3372,0.0872,0.0393,386.273,0.615,22.512
6.8,0.18,0.3885,0.0852,0.0389,382.544,0.609,22.001
7.7,0.20,0.4374,0.0830,0.0384,378.070,0.602,21.432
8.7,0.23,0.4837,0.0806,0.0380,373.596,0.595,20.813
9.7,0.25,0.5272,0.0780,0.0375,368.376,0.587,20.142
10.6,0.28,0.5677,0.0752,0.0369,363.156,0.578,19.416
11.6,0.30,0.6050,0.0722,0.0362,356.445,0.568,18.638
12.5,0.33,0.6390,0.0690,0.0355,349.733,0.556,17.806
13.5,0.35,0.6699,0.0655,0.0347,340.785,0.543,16.921
14.5,0.38,0.6975,0.0619,0.0337,331.836,0.528,15.982
15.4,0.41,0.7215,0.0581,0.0326,320.651,0.510,14.995
16.4,0.43,0.7426,0.0541,0.0314,308.720,0.491,13.972
17.3,0.46,0.7612,0.0501,0.0300,294.551,0.469,12.927
18.3,0.48,0.7777,0.0459,0.0284,279.637,0.445,11.859
19.3,0.51,0.7907,0.0417,0.0267,262.486,0.418,10.760
20.3,0.53,0.7992,0.0374,0.0249,244.590,0.389,9.648
21.2,0.56,0.8046,0.0330,0.0228,224.456,0.357,8.514
22.2,0.58,0.8065,0.0285,0.0206,202.085,0.322,7.357
23.2,0.61,0.8021,0.0239,0.0181,178.222,0.284,6.174
24.1,0.63,0.7858,0.0193,0.0155,152.868,0.243,4.973
25.1,0.66,0.7522,0.0145,0.0127,125.278,0.199,3.750
26.1,0.68,0.6855,0.0097,0.0097,95.450,0.152,2.513
27.0,0.71,0.5212,0.0049,0.0066,65.622,0.104,1.263
28.0,0.73,-0.0038,0.0000,0.0038,37.285,0.060,-0.004
