# J, eta_p, CT, CP
0.00,0.0000,0.1036,0.0747
0.04,0.0679,0.1039,0.0757
0.09,0.1329,0.1041,0.0769
0.13,0.1950,0.1043,0.0779
0.18,0.2541,0.1046,0.0789
0.22,0.3107,0.1048,0.0795
0.26,0.3641,0.1050,0.0807
0.31,0.4141,0.1052,0.0825
0.35,0.4616,0.1054,0.0842
0.39,0.5061,0.1056,0.0860
0.44,0.5478,0.1056,0.0878
0.48,0.5870,0.1056,0.0897
0.53,0.6234,0.1055,0.0918
0.57,0.6578,0.1052,0.0935
0.61,0.6888,0.1045,0.0956
0.66,0.7192,0.1031,0.0964
0.70,0.7475,0.1006,0.0960
0.75,0.7740,0.0965,0.0941
0.79,0.7985,0.0900,0.0898
0.83,0.8190,0.0828,0.0848
0.88,0.8345,0.0754,0.0798
0.92,0.8478,0.0679,0.0740
0.96,0.8571,0.0601,0.0679
1.01,0.8620,0.0522,0.0613
1.05,0.8624,0.0440,0.0539
1.10,0.8545,0.0355,0.0458
1.14,0.8330,0.0268,0.0370
1.18,0.7758,0.0180,0.0277
1.23,0.6196,0.0091,0.0183
1.27,-0.0038,-0.0000,0.0089
