# J, eta_p, CT, CP
0.00,0.0000,0.2826,0.2289
0.04,0.0530,0.2822,0.2299
0.08,0.1046,0.2817,0.2309
0.12,0.1549,0.2810,0.2319
0.17,0.2039,0.2802,0.2329
0.21,0.2515,0.2791,0.2338
0.25,0.2979,0.2776,0.2346
0.29,0.3431,0.2755,0.2350
0.33,0.3870,0.2725,0.2348
0.37,0.4299,0.2681,0.2334
0.41,0.4718,0.2607,0.2294
0.46,0.5121,0.2502,0.2229
0.50,0.5494,0.2389,0.2163
0.54,0.5827,0.2275,0.2104
0.58,0.6131,0.2158,0.2042
0.62,0.6414,0.2037,0.1975
0.66,0.6675,0.1913,0.1901
0.70,0.6911,0.1786,0.1821
0.75,0.7120,0.1655,0.1735
0.79,0.7300,0.1521,0.1641
0.83,0.7445,0.1383,0.1540
0.87,0.7550,0.1241,0.1431
0.91,0.7604,0.1096,0.1315
0.95,0.7583,0.0947,0.1192
1.00,0.7451,0.0795,0.1062
1.04,0.7157,0.0640,0.0927
1.08,0.6605,0.0483,0.0788
1.12,0.5577,0.0322,0.0647
1.16,0.3701,0.0162,0.0508
1.20,-0.0047,-0.0001,0.0372
