# J, eta_p, CT, CP
0.00,0.0000,0.0874,0.0314
0.02,0.0495,0.0856,0.0311
0.03,0.0976,0.0837,0.0308
0.05,0.1441,0.0817,0.0305
0.07,0.1889,0.0795,0.0302
0.09,0.2319,0.0773,0.0299
0.10,0.2727,0.0750,0.0296
0.12,0.3116,0.0726,0.0292
0.14,0.3485,0.0701,0.0288
0.16,0.3834,0.0675,0.0283
0.17,0.4165,0.0649,0.0278
0.19,0.4475,0.0622,0.0273
0.21,0.4765,0.0593,0.0267
0.23,0.5034,0.0565,0.0260
0.24,0.5279,0.0534,0.0253
0.26,0.5511,0.0505,0.0245
0.28,0.5714,0.0474,0.0237
0.29,0.5891,0.0442,0.0228
0.31,0.6041,0.0409,0.0219
0.33,0.6160,0.0376,0.0208
0.35,0.6245,0.0342,0.0197
0.36,0.6287,0.0307,0.0185
0.38,0.6272,0.0271,0.0173
0.40,0.6178,0.0235,0.0160
0.42,0.5985,0.0197,0.0146
0.43,0.5632,0.0159,0.0132
0.45,0.5059,0.0120,0.0118
0.47,0.4139,0.0081,0.0103
0.49,0.2616,0.0040,0.0088
0.50,-0.0012,-0.0000,0.0074
