# J, eta_p, CT, CP
0.00,0.0000,0.1057,0.0571
0.02,0.0486,0.1045,0.0552
0.05,0.0973,0.1030,0.0534
0.07,0.1460,0.1014,0.0516
0.09,0.1950,0.0996,0.0497
0.11,0.2436,0.0976,0.0480
0.14,0.2920,0.0953,0.0463
0.16,0.3395,0.0928,0.0446
0.18,0.3849,0.0901,0.0433
0.20,0.4281,0.0869,0.0420
0.23,0.4671,0.0837,0.0410
0.25,0.5037,0.0803,0.0400
0.27,0.5366,0.0766,0.0390
0.29,0.5668,0.0728,0.0380
0.32,0.5944,0.0691,0.0370
0.34,0.6194,0.0652,0.0359
0.36,0.6416,0.0612,0.0347
0.39,0.6617,0.0571,0.0334
0.41,0.6793,0.0529,0.0318
0.43,0.6949,0.0485,0.0301
0.45,0.7071,0.0441,0.0283
0.48,0.7152,0.0395,0.0263
0.50,0.7190,0.0349,0.0242
0.52,0.7170,0.0301,0.0220
0.54,0.7069,0.0253,0.0195
0.57,0.6821,0.0204,0.0170
0.59,0.6338,0.0154,0.0145
0.61,0.5453,0.0104,0.0118
0.63,0.3731,0.0052,0.0091
0.66,-0.0055,-0.0001,0.0064
