# J, eta_p, CT, CP
0.0,0.00,0.0952,0.1432
0.0,0.05,0.0957,0.1399
0.1,0.09,0.0962,0.1386
0.1,0.14,0.0966,0.1365
0.2,0.17,0.0972,0.1370
0.2,0.22,0.0974,0.1323
0.3,0.25,0.0981,0.1348
0.3,0.29,0.0983,0.1316
0.4,0.34,0.0980,0.1251
0.4,0.38,0.0983,0.1245
0.5,0.42,0.0982,0.1222
0.5,0.45,0.0981,0.1214
0.6,0.49,0.0979,0.1210
0.6,0.54,0.0967,0.1137
0.6,0.58,0.0956,0.1112
0.7,0.63,0.0936,0.1059
0.7,0.68,0.0912,0.1008
0.8,0.73,0.0884,0.0971
0.8,0.77,0.0848,0.0929
0.9,0.80,0.0803,0.0890
0.9,0.84,0.0742,0.0830
1.0,0.86,0.0669,0.0764
1.0,0.87,0.0595,0.0707
1.1,0.87,0.0519,0.0645
1.1,0.85,0.0432,0.0566
1.2,0.83,0.0349,0.0494
1.2,0.77,0.0268,0.0428
1.2,0.66,0.0179,0.0347
1.3,0.43,0.0081,0.0261
1.3,-0.06,-0.0014,0.0176
