# J, eta_p, CT, CP
0.0,0.00,0.0932,0.0988
0.0,0.06,0.0935,0.0986
0.1,0.12,0.0938,0.0988
0.1,0.18,0.0941,0.0985
0.2,0.23,0.0945,0.0993
0.2,0.28,0.0948,0.0988
0.3,0.33,0.0951,0.0996
0.3,0.38,0.0953,0.0993
0.4,0.42,0.0955,0.0985
0.4,0.47,0.0955,0.0972
0.4,0.51,0.0955,0.0969
0.5,0.55,0.0952,0.0953
0.5,0.59,0.0951,0.0960
0.6,0.62,0.0948,0.0961
0.6,0.66,0.0940,0.0954
0.7,0.69,0.0925,0.0947
0.7,0.72,0.0903,0.0934
0.8,0.75,0.0874,0.0918
0.8,0.78,0.0836,0.0890
0.9,0.80,0.0785,0.0849
0.9,0.83,0.0720,0.0790
0.9,0.85,0.0648,0.0730
1.0,0.86,0.0574,0.0666
1.0,0.86,0.0499,0.0601
1.1,0.86,0.0420,0.0531
1.1,0.83,0.0340,0.0461
1.2,0.78,0.0260,0.0392
1.2,0.68,0.0177,0.0317
1.3,0.48,0.0091,0.0240
1.3,0.00,0.0000,0.0156
