# J, eta_p, CT, CP
0.0,0.00,0.0892,0.0359
0.0,0.06,0.0884,0.0356
0.0,0.11,0.0873,0.0355
0.1,0.16,0.0863,0.0353
0.1,0.21,0.0851,0.0352
0.1,0.26,0.0837,0.0350
0.1,0.31,0.0821,0.0347
0.1,0.36,0.0804,0.0344
0.2,0.40,0.0785,0.0341
0.2,0.45,0.0764,0.0338
0.2,0.49,0.0740,0.0333
0.2,0.53,0.0715,0.0328
0.3,0.56,0.0688,0.0323
0.3,0.60,0.0658,0.0315
0.3,0.63,0.0626,0.0307
0.3,0.66,0.0591,0.0297
0.3,0.68,0.0555,0.0287
0.4,0.70,0.0519,0.0276
0.4,0.72,0.0481,0.0264
0.4,0.74,0.0442,0.0250
0.4,0.75,0.0402,0.0234
0.5,0.76,0.0360,0.0218
0.5,0.77,0.0318,0.0200
0.5,0.77,0.0275,0.0181
0.5,0.76,0.0231,0.0161
0.5,0.74,0.0187,0.0139
0.6,0.70,0.0141,0.0116
0.6,0.62,0.0095,0.0092
0.6,0.45,0.0048,0.0067
0.6,-0.00,-0.0000,0.0041
