# J, eta_p, CT, CP
0.0,0.00,0.1265,0.1458
0.0,0.05,0.1268,0.1434
0.1,0.10,0.1270,0.1409
0.1,0.14,0.1272,0.1386
0.2,0.19,0.1273,0.1358
0.2,0.24,0.1273,0.1333
0.2,0.28,0.1272,0.1303
0.3,0.33,0.1270,0.1273
0.3,0.37,0.1266,0.1244
0.4,0.42,0.1260,0.1214
0.4,0.46,0.1251,0.1181
0.4,0.51,0.1238,0.1146
0.5,0.55,0.1220,0.1109
0.5,0.60,0.1195,0.1067
0.6,0.64,0.1162,0.1023
0.6,0.69,0.1120,0.0979
0.6,0.73,0.1067,0.0936
0.7,0.76,0.1005,0.0894
0.7,0.79,0.0934,0.0849
0.8,0.81,0.0857,0.0800
0.8,0.83,0.0781,0.0752
0.8,0.84,0.0702,0.0698
0.9,0.85,0.0620,0.0637
0.9,0.86,0.0537,0.0571
0.9,0.86,0.0451,0.0498
1.0,0.86,0.0364,0.0419
1.0,0.85,0.0276,0.0336
1.1,0.81,0.0186,0.0248
1.1,0.67,0.0094,0.0158
1.1,-0.01,-0.0001,0.0070
