# J, eta_p, CT, CP
0.00,0.0000,0.1209,0.1329
0.04,0.0476,0.1211,0.1309
0.08,0.0946,0.1213,0.1288
0.12,0.1413,0.1215,0.1266
0.16,0.1877,0.1217,0.1243
0.20,0.2339,0.1217,0.1219
0.24,0.2802,0.1218,0.1195
0.28,0.3266,0.1217,0.1170
0.32,0.3733,0.1214,0.1144
0.37,0.4206,0.1211,0.1119
0.41,0.4689,0.1205,0.1091
0.45,0.5180,0.1197,0.1064
0.49,0.5680,0.1183,0.1035
0.53,0.6188,0.1163,0.1002
0.57,0.6683,0.1133,0.0969
0.61,0.7134,0.1091,0.0934
0.65,0.7507,0.1038,0.0899
0.69,0.7792,0.0972,0.0862
0.73,0.8016,0.0900,0.0821
0.77,0.8206,0.0827,0.0779
0.81,0.8372,0.0751,0.0729
0.85,0.8516,0.0673,0.0674
0.89,0.8627,0.0595,0.0616
0.93,0.8717,0.0516,0.0553
0.97,0.8753,0.0434,0.0483
1.01,0.8730,0.0350,0.0406
1.06,0.8567,0.0264,0.0325
1.10,0.8076,0.0178,0.0241
1.14,0.6626,0.0089,0.0154
1.18,-0.0035,-0.0000,0.0071
