# J, eta_p, CT, CP
0.0,0.00,0.1016,0.1029
0.0,0.05,0.1017,0.1012
0.1,0.10,0.1017,0.0993
0.1,0.15,0.1017,0.0973
0.1,0.19,0.1016,0.0953
0.2,0.24,0.1015,0.0932
0.2,0.29,0.1013,0.0910
0.2,0.33,0.1010,0.0888
0.3,0.37,0.1006,0.0864
0.3,0.42,0.1000,0.0839
0.3,0.46,0.0993,0.0812
0.4,0.51,0.0982,0.0785
0.4,0.55,0.0966,0.0756
0.4,0.60,0.0944,0.0727
0.5,0.64,0.0914,0.0694
0.5,0.68,0.0868,0.0655
0.5,0.72,0.0815,0.0619
0.6,0.74,0.0762,0.0590
0.6,0.77,0.0707,0.0558
0.6,0.79,0.0651,0.0523
0.7,0.81,0.0593,0.0489
0.7,0.82,0.0534,0.0456
0.7,0.83,0.0473,0.0419
0.8,0.83,0.0411,0.0378
0.8,0.83,0.0345,0.0331
0.8,0.82,0.0279,0.0281
0.9,0.80,0.0211,0.0229
0.9,0.72,0.0143,0.0177
0.9,0.53,0.0072,0.0126
1.0,0.00,0.0000,0.0076
