# J, eta_p, CT, CP
0.0,0.00,0.0988,0.0462
0.0,0.05,0.0982,0.0458
0.0,0.11,0.0975,0.0455
0.1,0.16,0.0966,0.0452
0.1,0.21,0.0955,0.0449
0.1,0.27,0.0943,0.0446
0.1,0.32,0.0928,0.0443
0.2,0.36,0.0911,0.0440
0.2,0.41,0.0891,0.0435
0.2,0.45,0.0869,0.0431
0.2,0.50,0.0843,0.0424
0.3,0.54,0.0814,0.0417
0.3,0.57,0.0783,0.0409
0.3,0.61,0.0750,0.0400
0.3,0.64,0.0713,0.0390
0.4,0.67,0.0674,0.0378
0.4,0.69,0.0633,0.0364
0.4,0.72,0.0591,0.0351
0.4,0.74,0.0548,0.0334
0.5,0.76,0.0503,0.0316
0.5,0.77,0.0458,0.0296
0.5,0.78,0.0411,0.0275
0.5,0.79,0.0363,0.0253
0.6,0.79,0.0314,0.0228
0.6,0.79,0.0264,0.0202
0.6,0.77,0.0213,0.0174
0.6,0.73,0.0161,0.0145
0.7,0.65,0.0111,0.0115
0.7,0.48,0.0054,0.0082
0.7,-0.00,-0.0000,0.0054
