# J, eta_p, CT, CP
0.00,0.0000,0.1186,0.1031
0.03,0.0466,0.1184,0.1004
0.06,0.0929,0.1181,0.0978
0.09,0.1391,0.1177,0.0949
0.12,0.1852,0.1172,0.0921
0.15,0.2316,0.1164,0.0890
0.18,0.2786,0.1155,0.0858
0.21,0.3263,0.1142,0.0825
0.24,0.3749,0.1125,0.0790
0.27,0.4245,0.1105,0.0754
0.30,0.4746,0.1079,0.0718
0.33,0.5244,0.1049,0.0684
0.36,0.5727,0.1013,0.0652
0.39,0.6173,0.0972,0.0624
0.42,0.6563,0.0925,0.0598
0.45,0.6888,0.0872,0.0575
0.48,0.7147,0.0817,0.0554
0.51,0.7370,0.0762,0.0531
0.54,0.7567,0.0706,0.0507
0.57,0.7735,0.0648,0.0481
0.61,0.7878,0.0589,0.0452
0.64,0.7997,0.0529,0.0420
0.67,0.8085,0.0467,0.0384
0.70,0.8135,0.0404,0.0345
0.73,0.8140,0.0339,0.0302
0.76,0.8050,0.0273,0.0257
0.79,0.7736,0.0207,0.0210
0.82,0.6977,0.0139,0.0162
0.85,0.5178,0.0070,0.0114
0.88,-0.0021,-0.0000,0.0069
