# J, eta_p, CT, CP
0.0,0.00,0.2121,0.1124
0.0,0.07,0.2116,0.1154
0.1,0.13,0.2108,0.1185
0.1,0.19,0.2099,0.1215
0.1,0.24,0.2086,0.1245
0.2,0.29,0.2068,0.1274
0.2,0.34,0.2044,0.1298
0.2,0.38,0.2011,0.1318
0.3,0.43,0.1969,0.1331
0.3,0.46,0.1920,0.1338
0.4,0.50,0.1863,0.1340
0.4,0.53,0.1800,0.1336
0.4,0.56,0.1729,0.1323
0.5,0.59,0.1649,0.1300
0.5,0.62,0.1564,0.1270
0.5,0.65,0.1477,0.1235
0.6,0.67,0.1388,0.1195
0.6,0.69,0.1296,0.1151
0.7,0.71,0.1201,0.1099
0.7,0.72,0.1105,0.1044
0.7,0.73,0.1006,0.0985
0.8,0.74,0.0904,0.0919
0.8,0.75,0.0801,0.0847
0.8,0.75,0.0695,0.0768
0.9,0.74,0.0586,0.0685
0.9,0.72,0.0475,0.0595
0.9,0.68,0.0361,0.0500
1.0,0.59,0.0244,0.0401
1.0,0.42,0.0123,0.0299
1.0,-0.00,-0.0000,0.0195
