# J, eta_p, CT, CP
0.0,0.00,0.0831,0.0289
0.0,0.05,0.0816,0.0287
0.0,0.11,0.0799,0.0284
0.1,0.16,0.0781,0.0281
0.1,0.20,0.0763,0.0278
0.1,0.25,0.0743,0.0275
0.1,0.30,0.0723,0.0272
0.1,0.34,0.0701,0.0269
0.1,0.38,0.0679,0.0266
0.2,0.42,0.0655,0.0262
0.2,0.45,0.0630,0.0257
0.2,0.49,0.0604,0.0253
0.2,0.52,0.0576,0.0247
0.2,0.55,0.0548,0.0241
0.3,0.57,0.0519,0.0235
0.3,0.60,0.0490,0.0228
0.3,0.62,0.0460,0.0220
0.3,0.64,0.0429,0.0212
0.3,0.66,0.0398,0.0203
0.3,0.67,0.0365,0.0192
0.4,0.68,0.0332,0.0181
0.4,0.69,0.0298,0.0169
0.4,0.69,0.0263,0.0156
0.4,0.68,0.0227,0.0143
0.4,0.66,0.0191,0.0129
0.5,0.63,0.0155,0.0114
0.5,0.58,0.0117,0.0099
0.5,0.49,0.0078,0.0082
0.5,0.32,0.0039,0.0066
0.5,-0.00,-0.0000,0.0050
