# J, eta_p, CT, CP
0.0,0.00,0.1265,0.0789
0.0,0.05,0.1257,0.0768
0.1,0.10,0.1247,0.0748
0.1,0.15,0.1236,0.0727
0.1,0.20,0.1223,0.0707
0.1,0.25,0.1208,0.0687
0.2,0.30,0.1189,0.0667
0.2,0.35,0.1167,0.0648
0.2,0.40,0.1143,0.0630
0.2,0.45,0.1113,0.0612
0.3,0.50,0.1078,0.0595
0.3,0.55,0.1038,0.0580
0.3,0.58,0.0995,0.0567
0.4,0.62,0.0949,0.0554
0.4,0.65,0.0900,0.0539
0.4,0.67,0.0850,0.0523
0.4,0.70,0.0798,0.0505
0.5,0.72,0.0742,0.0484
0.5,0.74,0.0689,0.0463
0.5,0.76,0.0633,0.0438
0.6,0.77,0.0575,0.0411
0.6,0.79,0.0516,0.0382
0.6,0.79,0.0456,0.0350
0.6,0.80,0.0395,0.0316
0.7,0.79,0.0332,0.0280
0.7,0.77,0.0268,0.0240
0.7,0.74,0.0203,0.0200
0.7,0.66,0.0137,0.0158
0.8,0.47,0.0069,0.0116
0.8,0.00,0.0001,0.0079
