# J, eta_p, CT, CP
0.0,0.00,0.1193,0.0573
0.0,0.05,0.1180,0.0560
0.1,0.10,0.1166,0.0548
0.1,0.16,0.1149,0.0535
0.1,0.21,0.1130,0.0523
0.1,0.26,0.1108,0.0512
0.1,0.31,0.1082,0.0500
0.2,0.36,0.1053,0.0491
0.2,0.41,0.1021,0.0482
0.2,0.45,0.0985,0.0473
0.2,0.49,0.0948,0.0465
0.3,0.52,0.0912,0.0457
0.3,0.56,0.0872,0.0447
0.3,0.59,0.0830,0.0437
0.3,0.62,0.0787,0.0426
0.4,0.64,0.0742,0.0413
0.4,0.67,0.0697,0.0398
0.4,0.69,0.0650,0.0382
0.4,0.71,0.0602,0.0365
0.5,0.73,0.0553,0.0346
0.5,0.74,0.0502,0.0325
0.5,0.75,0.0451,0.0303
0.5,0.75,0.0399,0.0279
0.5,0.75,0.0345,0.0254
0.6,0.74,0.0290,0.0226
0.6,0.71,0.0234,0.0198
0.6,0.66,0.0176,0.0168
0.6,0.56,0.0118,0.0138
0.7,0.38,0.0059,0.0109
0.7,-0.01,-0.0001,0.0080
