# J, eta_p, CT, CP
0.00,0.0000,0.1092,0.0538
0.02,0.0500,0.1081,0.0525
0.05,0.1005,0.1068,0.0512
0.07,0.1517,0.1053,0.0498
0.09,0.2025,0.1036,0.0488
0.12,0.2528,0.1017,0.0478
0.14,0.3019,0.0995,0.0469
0.16,0.3496,0.0971,0.0461
0.19,0.3953,0.0945,0.0453
0.21,0.4389,0.0916,0.0444
0.23,0.4800,0.0884,0.0435
0.26,0.5175,0.0849,0.0426
0.28,0.5515,0.0811,0.0417
0.30,0.5824,0.0773,0.0407
0.33,0.6111,0.0733,0.0396
0.35,0.6373,0.0692,0.0383
0.37,0.6612,0.0650,0.0370
0.40,0.6830,0.0606,0.0355
0.42,0.7025,0.0561,0.0338
0.44,0.7196,0.0515,0.0319
0.47,0.7335,0.0468,0.0300
0.49,0.7440,0.0419,0.0278
0.51,0.7507,0.0371,0.0255
0.54,0.7528,0.0321,0.0230
0.56,0.7459,0.0270,0.0204
0.58,0.7250,0.0219,0.0178
0.61,0.6813,0.0168,0.0151
0.63,0.5842,0.0110,0.0121
0.65,0.4019,0.0055,0.0093
0.68,-0.0084,-0.0001,0.0067
