# J, eta_p, CT, CP
0.00,0.0000,0.0591,0.0239
0.02,0.0407,0.0589,0.0241
0.03,0.0806,0.0587,0.0242
0.05,0.1197,0.0584,0.0243
0.07,0.1579,0.0581,0.0244
0.08,0.1953,0.0576,0.0244
0.10,0.2320,0.0571,0.0245
0.12,0.2671,0.0562,0.0244
0.13,0.3011,0.0552,0.0243
0.15,0.3328,0.0539,0.0241
0.16,0.3629,0.0522,0.0238
0.18,0.3916,0.0502,0.0233
0.20,0.4170,0.0480,0.0228
0.21,0.4418,0.0457,0.0222
0.23,0.4634,0.0434,0.0216
0.25,0.4826,0.0410,0.0210
0.26,0.4995,0.0384,0.0203
0.28,0.5146,0.0359,0.0196
0.30,0.5269,0.0333,0.0188
0.31,0.5361,0.0306,0.0179
0.33,0.5423,0.0279,0.0170
0.35,0.5438,0.0251,0.0160
0.36,0.5419,0.0222,0.0149
0.38,0.5307,0.0193,0.0138
0.40,0.5112,0.0163,0.0127
0.41,0.4761,0.0132,0.0115
0.43,0.4191,0.0100,0.0103
0.45,0.3314,0.0067,0.0091
0.46,0.2009,0.0034,0.0079
0.48,-0.0051,-0.0001,0.0067
