# J, eta_p, CT, CP
0.0,0.00,0.0854,0.0982
0.0,0.05,0.0855,0.0950
0.1,0.09,0.0857,0.0931
0.1,0.14,0.0858,0.0912
0.1,0.18,0.0859,0.0892
0.2,0.22,0.0860,0.0885
0.2,0.27,0.0860,0.0851
0.3,0.31,0.0860,0.0841
0.3,0.35,0.0859,0.0817
0.3,0.39,0.0857,0.0795
0.4,0.44,0.0854,0.0774
0.4,0.49,0.0848,0.0740
0.4,0.53,0.0842,0.0724
0.5,0.59,0.0830,0.0690
0.5,0.63,0.0817,0.0670
0.5,0.69,0.0794,0.0639
0.6,0.74,0.0762,0.0609
0.6,0.78,0.0717,0.0576
0.7,0.80,0.0666,0.0547
0.7,0.82,0.0613,0.0519
0.7,0.84,0.0558,0.0488
0.8,0.85,0.0503,0.0454
0.8,0.86,0.0446,0.0417
0.8,0.87,0.0386,0.0375
0.9,0.87,0.0324,0.0327
0.9,0.87,0.0261,0.0276
0.9,0.85,0.0197,0.0222
1.0,0.79,0.0131,0.0166
1.0,0.62,0.0065,0.0110
1.1,-0.00,-0.0000,0.0057
