# J, eta_p, CT, CP
0.00,0.0000,0.1079,0.0504
0.03,0.0559,0.1072,0.0499
0.05,0.1112,0.1063,0.0494
0.08,0.1659,0.1053,0.0490
0.10,0.2195,0.1039,0.0486
0.13,0.2718,0.1024,0.0483
0.15,0.3227,0.1005,0.0479
0.18,0.3719,0.0984,0.0474
0.20,0.4190,0.0959,0.0469
0.23,0.4640,0.0931,0.0462
0.25,0.5064,0.0901,0.0455
0.28,0.5461,0.0867,0.0447
0.31,0.5833,0.0832,0.0438
0.33,0.6175,0.0792,0.0427
0.36,0.6483,0.0751,0.0415
0.38,0.6763,0.0708,0.0402
0.41,0.7018,0.0665,0.0387
0.43,0.7251,0.0620,0.0371
0.46,0.7459,0.0573,0.0353
0.48,0.7644,0.0526,0.0334
0.51,0.7800,0.0478,0.0313
0.54,0.7920,0.0429,0.0290
0.56,0.7999,0.0379,0.0266
0.59,0.8023,0.0328,0.0240
0.61,0.7964,0.0276,0.0212
0.64,0.7772,0.0222,0.0183
0.66,0.7366,0.0168,0.0152
0.69,0.6560,0.0113,0.0119
0.71,0.4693,0.0057,0.0087
0.74,-0.0031,0.0000,0.0058
