# J, eta_p, CT, CP
0.00,0.0000,0.1979,0.1842
0.04,0.0490,0.1976,0.1812
0.07,0.0973,0.1972,0.1781
0.11,0.1451,0.1966,0.1750
0.15,0.1924,0.1958,0.1717
0.18,0.2393,0.1947,0.1683
0.22,0.2858,0.1932,0.1647
0.26,0.3320,0.1914,0.1610
0.30,0.3782,0.1891,0.1569
0.33,0.4238,0.1863,0.1532
0.37,0.4691,0.1829,0.1492
0.41,0.5137,0.1788,0.1450
0.44,0.5569,0.1739,0.1410
0.48,0.5978,0.1684,0.1371
0.52,0.6358,0.1621,0.1333
0.55,0.6710,0.1547,0.1289
0.59,0.7032,0.1458,0.1232
0.63,0.7304,0.1361,0.1174
0.66,0.7523,0.1262,0.1118
0.70,0.7711,0.1160,0.1058
0.74,0.7874,0.1056,0.0993
0.78,0.8017,0.0947,0.0920
0.81,0.8121,0.0840,0.0843
0.85,0.8198,0.0727,0.0756
0.89,0.8233,0.0610,0.0661
0.92,0.8195,0.0493,0.0561
0.96,0.7995,0.0370,0.0454
1.00,0.7427,0.0247,0.0345
1.03,0.5601,0.0123,0.0236
1.07,-0.0012,-0.0000,0.0131
