# J, eta_p, CT, CP
0.00,0.0000,0.0794,0.0268
0.02,0.0556,0.0779,0.0266
0.04,0.1096,0.0763,0.0265
0.06,0.1619,0.0747,0.0263
0.08,0.2125,0.0729,0.0261
0.09,0.2613,0.0711,0.0258
0.11,0.3080,0.0692,0.0255
0.13,0.3525,0.0671,0.0253
0.15,0.3947,0.0649,0.0249
0.17,0.4343,0.0625,0.0245
0.19,0.4713,0.0601,0.0241
0.21,0.5058,0.0576,0.0237
0.23,0.5376,0.0550,0.0232
0.24,0.5671,0.0523,0.0227
0.26,0.5941,0.0496,0.0221
0.28,0.6191,0.0468,0.0214
0.30,0.6412,0.0439,0.0207
0.32,0.6607,0.0410,0.0200
0.34,0.6776,0.0380,0.0191
0.36,0.6918,0.0349,0.0181
0.38,0.7029,0.0317,0.0171
0.39,0.7110,0.0285,0.0159
0.41,0.7140,0.0251,0.0147
0.43,0.7094,0.0217,0.0134
0.45,0.6935,0.0183,0.0120
0.47,0.6660,0.0147,0.0105
0.49,0.6183,0.0112,0.0090
0.51,0.5316,0.0075,0.0074
0.53,0.3647,0.0038,0.0057
0.54,-0.0010,0.0000,0.0043
