# J, eta_p, CT, CP
0.0,0.00,0.1329,0.0563
0.0,0.06,0.1302,0.0559
0.1,0.11,0.1274,0.0555
0.1,0.16,0.1244,0.0551
0.1,0.21,0.1212,0.0546
0.1,0.26,0.1180,0.0541
0.1,0.31,0.1145,0.0535
0.2,0.35,0.1108,0.0529
0.2,0.39,0.1070,0.0522
0.2,0.43,0.1031,0.0514
0.2,0.47,0.0990,0.0505
0.3,0.50,0.0948,0.0496
0.3,0.53,0.0905,0.0486
0.3,0.56,0.0861,0.0474
0.3,0.59,0.0816,0.0461
0.4,0.62,0.0770,0.0447
0.4,0.64,0.0722,0.0431
0.4,0.66,0.0673,0.0413
0.4,0.68,0.0624,0.0396
0.5,0.69,0.0573,0.0375
0.5,0.71,0.0521,0.0352
0.5,0.71,0.0467,0.0329
0.5,0.71,0.0412,0.0305
0.5,0.70,0.0356,0.0281
0.6,0.67,0.0300,0.0256
0.6,0.63,0.0243,0.0231
0.6,0.56,0.0183,0.0206
0.6,0.45,0.0123,0.0178
0.7,0.27,0.0062,0.0158
0.7,-0.01,-0.0001,0.0130
