# J, eta_p, CT, CP
0.0,0.00,0.0920,0.0400
0.0,0.06,0.0913,0.0396
0.0,0.11,0.0905,0.0391
0.1,0.17,0.0895,0.0387
0.1,0.22,0.0883,0.0387
0.1,0.27,0.0869,0.0384
0.1,0.32,0.0852,0.0382
0.2,0.37,0.0833,0.0379
0.2,0.42,0.0811,0.0375
0.2,0.46,0.0788,0.0371
0.2,0.50,0.0762,0.0366
0.3,0.54,0.0735,0.0360
0.3,0.58,0.0705,0.0353
0.3,0.61,0.0673,0.0345
0.3,0.64,0.0638,0.0336
0.4,0.67,0.0603,0.0326
0.4,0.70,0.0566,0.0315
0.4,0.72,0.0528,0.0302
0.4,0.74,0.0489,0.0288
0.5,0.76,0.0448,0.0272
0.5,0.77,0.0407,0.0255
0.5,0.78,0.0365,0.0237
0.5,0.79,0.0323,0.0217
0.5,0.79,0.0279,0.0195
0.6,0.79,0.0235,0.0173
0.6,0.77,0.0190,0.0149
0.6,0.74,0.0144,0.0123
0.7,0.67,0.0097,0.0096
0.7,0.50,0.0048,0.0067
0.7,-0.01,-0.0000,0.0045
