# J, eta_p, CT, CP
0.0,0.00,0.1120,0.0782
0.0,0.05,0.1119,0.0769
0.1,0.10,0.1118,0.0756
0.1,0.15,0.1116,0.0742
0.1,0.20,0.1112,0.0727
0.1,0.25,0.1107,0.0712
0.2,0.30,0.1100,0.0695
0.2,0.35,0.1090,0.0678
0.2,0.40,0.1076,0.0661
0.3,0.46,0.1057,0.0645
0.3,0.51,0.1034,0.0630
0.3,0.55,0.1007,0.0617
0.4,0.59,0.0973,0.0604
0.4,0.63,0.0935,0.0589
0.4,0.67,0.0892,0.0573
0.5,0.70,0.0845,0.0556
0.5,0.73,0.0795,0.0537
0.5,0.75,0.0742,0.0516
0.5,0.77,0.0688,0.0492
0.6,0.79,0.0631,0.0465
0.6,0.81,0.0574,0.0436
0.6,0.82,0.0515,0.0405
0.7,0.83,0.0456,0.0370
0.7,0.84,0.0395,0.0332
0.7,0.84,0.0332,0.0291
0.8,0.84,0.0268,0.0245
0.8,0.81,0.0203,0.0198
0.8,0.77,0.0136,0.0148
0.9,0.64,0.0069,0.0093
0.9,-0.00,-0.0000,0.0040
