# J, eta_p, CT, CP
0.00,0.0000,0.0890,0.0349
0.02,0.0574,0.0880,0.0347
0.04,0.1137,0.0868,0.0346
0.07,0.1686,0.0854,0.0344
0.09,0.2219,0.0840,0.0342
0.11,0.2734,0.0822,0.0340
0.13,0.3230,0.0804,0.0337
0.16,0.3705,0.0783,0.0334
0.18,0.4159,0.0762,0.0331
0.20,0.4591,0.0738,0.0326
0.22,0.4994,0.0712,0.0322
0.25,0.5367,0.0685,0.0317
0.27,0.5717,0.0656,0.0311
0.29,0.6035,0.0625,0.0304
0.31,0.6326,0.0593,0.0296
0.34,0.6596,0.0560,0.0287
0.36,0.6841,0.0525,0.0277
0.38,0.7067,0.0489,0.0265
0.40,0.7266,0.0453,0.0252
0.43,0.7437,0.0415,0.0239
0.45,0.7579,0.0378,0.0224
0.47,0.7692,0.0339,0.0208
0.49,0.7767,0.0299,0.0191
0.51,0.7790,0.0258,0.0172
0.54,0.7716,0.0217,0.0152
0.56,0.7516,0.0176,0.0132
0.58,0.7133,0.0133,0.0110
0.60,0.6379,0.0089,0.0087
0.63,0.4688,0.0045,0.0063
0.65,-0.0083,-0.0001,0.0044
