# J, eta_p, CT, CP
0.0,0.00,0.0911,0.0323
0.0,0.05,0.0890,0.0320
0.0,0.10,0.0868,0.0318
0.1,0.14,0.0845,0.0315
0.1,0.19,0.0822,0.0312
0.1,0.23,0.0798,0.0309
0.1,0.27,0.0773,0.0305
0.1,0.31,0.0747,0.0301
0.1,0.35,0.0721,0.0297
0.2,0.38,0.0694,0.0292
0.2,0.41,0.0667,0.0286
0.2,0.45,0.0638,0.0280
0.2,0.48,0.0609,0.0274
0.2,0.50,0.0580,0.0267
0.2,0.53,0.0549,0.0260
0.3,0.55,0.0518,0.0252
0.3,0.57,0.0486,0.0243
0.3,0.59,0.0453,0.0234
0.3,0.60,0.0419,0.0224
0.3,0.61,0.0385,0.0213
0.3,0.62,0.0349,0.0202
0.4,0.62,0.0314,0.0190
0.4,0.61,0.0277,0.0178
0.4,0.60,0.0239,0.0166
0.4,0.57,0.0201,0.0152
0.4,0.52,0.0162,0.0139
0.5,0.46,0.0122,0.0125
0.5,0.36,0.0082,0.0111
0.5,0.22,0.0041,0.0097
0.5,-0.00,-0.0000,0.0083
