# J, eta_p, CT, CP
0.0,0.00,0.2428,0.1350
0.0,0.06,0.2391,0.1352
0.1,0.11,0.2352,0.1354
0.1,0.16,0.2310,0.1356
0.1,0.21,0.2266,0.1357
0.2,0.26,0.2212,0.1350
0.2,0.31,0.2156,0.1342
0.2,0.35,0.2086,0.1318
0.2,0.39,0.2024,0.1307
0.3,0.43,0.1953,0.1291
0.3,0.47,0.1878,0.1269
0.3,0.50,0.1804,0.1245
0.4,0.54,0.1729,0.1221
0.4,0.57,0.1647,0.1190
0.4,0.60,0.1560,0.1153
0.5,0.63,0.1477,0.1117
0.5,0.65,0.1389,0.1076
0.5,0.68,0.1299,0.1032
0.6,0.70,0.1207,0.0984
0.6,0.72,0.1110,0.0931
0.6,0.73,0.1011,0.0872
0.7,0.74,0.0910,0.0809
0.7,0.75,0.0806,0.0743
0.7,0.76,0.0700,0.0671
0.8,0.75,0.0592,0.0594
0.8,0.74,0.0481,0.0513
0.8,0.71,0.0367,0.0427
0.8,0.63,0.0249,0.0341
0.9,0.43,0.0127,0.0261
0.9,0.00,0.0001,0.0190
