# J, eta_p, CT, CP
0.00,0.0000,0.0829,0.0282
0.02,0.0476,0.0809,0.0280
0.03,0.0936,0.0789,0.0278
0.05,0.1378,0.0768,0.0276
0.06,0.1802,0.0747,0.0273
0.08,0.2209,0.0725,0.0271
0.10,0.2599,0.0703,0.0267
0.11,0.2971,0.0679,0.0264
0.13,0.3326,0.0656,0.0260
0.14,0.3663,0.0631,0.0255
0.16,0.3982,0.0606,0.0251
0.18,0.4283,0.0580,0.0245
0.19,0.4564,0.0553,0.0240
0.21,0.4823,0.0526,0.0234
0.23,0.5061,0.0498,0.0227
0.24,0.5277,0.0469,0.0220
0.26,0.5470,0.0440,0.0212
0.27,0.5635,0.0410,0.0204
0.29,0.5766,0.0380,0.0196
0.31,0.5860,0.0349,0.0187
0.32,0.5906,0.0317,0.0177
0.34,0.5893,0.0284,0.0168
0.35,0.5808,0.0251,0.0158
0.37,0.5634,0.0217,0.0147
0.39,0.5348,0.0183,0.0137
0.40,0.4912,0.0147,0.0125
0.42,0.4272,0.0111,0.0114
0.43,0.3343,0.0075,0.0102
0.45,0.1990,0.0038,0.0091
0.47,-0.0003,-0.0000,0.0080
