# J, eta_p, CT, CP
0.00,0.0000,0.1156,0.1160
0.04,0.0481,0.1158,0.1143
0.08,0.0958,0.1160,0.1126
0.12,0.1451,0.1161,0.1099
0.16,0.1902,0.1163,0.1090
0.19,0.2372,0.1164,0.1071
0.23,0.2841,0.1164,0.1052
0.27,0.3342,0.1162,0.1024
0.31,0.3814,0.1160,0.1006
0.35,0.4250,0.1157,0.0997
0.39,0.4729,0.1151,0.0977
0.43,0.5224,0.1141,0.0954
0.47,0.5725,0.1126,0.0929
0.51,0.6217,0.1105,0.0904
0.54,0.6699,0.1076,0.0876
0.58,0.7105,0.1040,0.0854
0.62,0.7460,0.0993,0.0829
0.66,0.7760,0.0937,0.0798
0.70,0.8006,0.0873,0.0763
0.74,0.8214,0.0803,0.0722
0.78,0.8388,0.0729,0.0676
0.82,0.8536,0.0654,0.0625
0.85,0.8663,0.0578,0.0570
0.89,0.8764,0.0499,0.0509
0.93,0.8824,0.0420,0.0444
0.97,0.8832,0.0339,0.0373
1.01,0.8730,0.0257,0.0297
1.05,0.8361,0.0173,0.0217
1.09,0.7189,0.0087,0.0132
1.13,0.0003,0.0000,0.0048
