# J, eta_p, CT, CP
0.00,0.0000,0.1042,0.0462
0.02,0.0539,0.1031,0.0457
0.05,0.1072,0.1018,0.0453
0.07,0.1598,0.1004,0.0448
0.09,0.2114,0.0987,0.0443
0.12,0.2620,0.0969,0.0438
0.14,0.3112,0.0948,0.0432
0.16,0.3591,0.0924,0.0425
0.19,0.4045,0.0898,0.0418
0.21,0.4470,0.0870,0.0412
0.23,0.4869,0.0839,0.0406
0.26,0.5238,0.0805,0.0398
0.28,0.5577,0.0770,0.0390
0.30,0.5895,0.0733,0.0380
0.33,0.6189,0.0695,0.0370
0.35,0.6461,0.0656,0.0358
0.37,0.6707,0.0616,0.0345
0.40,0.6930,0.0576,0.0331
0.42,0.7130,0.0534,0.0316
0.44,0.7306,0.0490,0.0300
0.47,0.7449,0.0446,0.0281
0.49,0.7566,0.0400,0.0261
0.51,0.7636,0.0353,0.0239
0.53,0.7645,0.0306,0.0216
0.56,0.7559,0.0257,0.0192
0.58,0.7327,0.0208,0.0167
0.60,0.6859,0.0157,0.0141
0.63,0.5937,0.0106,0.0115
0.65,0.4031,0.0053,0.0088
0.67,-0.0064,-0.0001,0.0065
