# J, eta_p, CT, CP
0.0,0.00,0.1464,0.1865
0.0,0.05,0.1466,0.1828
0.1,0.10,0.1468,0.1791
0.1,0.14,0.1469,0.1754
0.2,0.19,0.1468,0.1715
0.2,0.23,0.1465,0.1674
0.3,0.28,0.1460,0.1626
0.3,0.32,0.1453,0.1582
0.3,0.37,0.1442,0.1537
0.4,0.41,0.1428,0.1487
0.4,0.46,0.1410,0.1439
0.5,0.50,0.1388,0.1392
0.5,0.55,0.1360,0.1342
0.6,0.59,0.1326,0.1285
0.6,0.64,0.1286,0.1230
0.6,0.68,0.1238,0.1172
0.7,0.72,0.1182,0.1111
0.7,0.75,0.1118,0.1046
0.8,0.78,0.1046,0.0979
0.8,0.81,0.0965,0.0908
0.8,0.83,0.0870,0.0854
0.9,0.84,0.0772,0.0820
0.9,0.84,0.0673,0.0781
1.0,0.85,0.0564,0.0739
1.0,0.87,0.0498,0.0583
1.1,0.87,0.0402,0.0490
1.1,0.86,0.0305,0.0389
1.1,0.83,0.0205,0.0281
1.2,0.74,0.0104,0.0166
1.2,-0.01,-0.0000,0.0046
