# J, eta_p, CT, CP
0.0,0.00,0.1368,0.1168
0.0,0.05,0.1369,0.1152
0.1,0.10,0.1369,0.1135
0.1,0.15,0.1369,0.1118
0.1,0.20,0.1368,0.1100
0.2,0.24,0.1366,0.1081
0.2,0.29,0.1362,0.1062
0.2,0.34,0.1356,0.1037
0.3,0.39,0.1348,0.1021
0.3,0.44,0.1335,0.1000
0.4,0.49,0.1316,0.0978
0.4,0.54,0.1291,0.0957
0.4,0.59,0.1259,0.0936
0.5,0.63,0.1218,0.0913
0.5,0.67,0.1170,0.0892
0.5,0.70,0.1112,0.0865
0.6,0.73,0.1046,0.0833
0.6,0.76,0.0976,0.0797
0.7,0.78,0.0904,0.0759
0.7,0.80,0.0831,0.0719
0.7,0.81,0.0755,0.0673
0.8,0.83,0.0678,0.0623
0.8,0.84,0.0599,0.0567
0.8,0.85,0.0518,0.0508
0.9,0.86,0.0436,0.0443
0.9,0.86,0.0352,0.0373
0.9,0.84,0.0265,0.0299
1.0,0.78,0.0180,0.0225
1.0,0.63,0.0091,0.0148
1.1,0.00,0.0001,0.0076
