# J, eta_p, CT, CP
0.00,0.0000,0.1182,0.0902
0.03,0.0462,0.1178,0.0878
0.06,0.0925,0.1173,0.0854
0.09,0.1392,0.1166,0.0829
0.12,0.1863,0.1157,0.0803
0.14,0.2340,0.1146,0.0776
0.17,0.2825,0.1132,0.0748
0.20,0.3316,0.1115,0.0720
0.23,0.3811,0.1094,0.0693
0.26,0.4305,0.1070,0.0667
0.29,0.4790,0.1042,0.0643
0.32,0.5255,0.1010,0.0620
0.35,0.5694,0.0974,0.0599
0.38,0.6095,0.0934,0.0580
0.41,0.6447,0.0887,0.0560
0.43,0.6737,0.0837,0.0542
0.46,0.6985,0.0786,0.0523
0.49,0.7208,0.0734,0.0503
0.52,0.7404,0.0680,0.0480
0.55,0.7576,0.0625,0.0455
0.58,0.7722,0.0569,0.0428
0.61,0.7841,0.0512,0.0398
0.64,0.7925,0.0450,0.0363
0.67,0.7976,0.0386,0.0324
0.69,0.7968,0.0327,0.0287
0.72,0.7845,0.0267,0.0248
0.75,0.7480,0.0199,0.0202
0.78,0.6710,0.0134,0.0158
0.81,0.4965,0.0068,0.0113
0.84,-0.0021,-0.0000,0.0070
