# J, eta_p, CT, CP
0.0,0.00,0.1924,0.2265
0.0,0.05,0.1918,0.2205
0.1,0.09,0.1912,0.2154
0.1,0.14,0.1904,0.2098
0.2,0.18,0.1892,0.2035
0.2,0.23,0.1880,0.1975
0.2,0.27,0.1864,0.1910
0.3,0.32,0.1844,0.1845
0.3,0.36,0.1820,0.1778
0.4,0.41,0.1791,0.1710
0.4,0.45,0.1757,0.1641
0.4,0.50,0.1716,0.1572
0.5,0.54,0.1665,0.1500
0.5,0.59,0.1607,0.1431
0.5,0.63,0.1537,0.1358
0.6,0.67,0.1461,0.1291
0.6,0.70,0.1365,0.1222
0.7,0.73,0.1274,0.1168
0.7,0.75,0.1182,0.1112
0.7,0.77,0.1087,0.1050
0.8,0.79,0.0991,0.0983
0.8,0.81,0.0891,0.0909
0.9,0.82,0.0788,0.0829
0.9,0.83,0.0680,0.0741
0.9,0.83,0.0576,0.0650
1.0,0.83,0.0465,0.0547
1.0,0.81,0.0350,0.0438
1.1,0.77,0.0236,0.0326
1.1,0.64,0.0120,0.0207
1.1,0.01,0.0001,0.0089
