# J, eta_p, CT, CP
0.00,0.0000,0.1413,0.0624
0.03,0.0566,0.1388,0.0620
0.05,0.1118,0.1358,0.0614
0.08,0.1656,0.1330,0.0609
0.10,0.2174,0.1297,0.0604
0.13,0.2671,0.1261,0.0597
0.15,0.3143,0.1222,0.0590
0.18,0.3588,0.1182,0.0583
0.20,0.4011,0.1142,0.0576
0.23,0.4410,0.1099,0.0567
0.25,0.4780,0.1053,0.0557
0.28,0.5138,0.1009,0.0546
0.30,0.5465,0.0962,0.0535
0.33,0.5774,0.0915,0.0521
0.35,0.6048,0.0865,0.0507
0.38,0.6305,0.0817,0.0492
0.40,0.6535,0.0767,0.0475
0.43,0.6741,0.0715,0.0457
0.45,0.6913,0.0659,0.0435
0.48,0.7042,0.0605,0.0413
0.51,0.7153,0.0549,0.0389
0.53,0.7198,0.0492,0.0364
0.56,0.7165,0.0433,0.0338
0.58,0.7061,0.0375,0.0309
0.61,0.6805,0.0314,0.0281
0.63,0.6415,0.0252,0.0249
0.66,0.5744,0.0190,0.0218
0.68,0.4624,0.0128,0.0189
0.71,0.2860,0.0062,0.0155
0.73,0.0050,0.0001,0.0130
