# J, eta_p, CT, CP
0.0,0.00,0.0860,0.0812
0.0,0.05,0.0861,0.0799
0.1,0.09,0.0862,0.0787
0.1,0.14,0.0864,0.0773
0.1,0.18,0.0865,0.0760
0.2,0.23,0.0865,0.0745
0.2,0.28,0.0865,0.0730
0.2,0.32,0.0865,0.0716
0.3,0.37,0.0864,0.0702
0.3,0.42,0.0862,0.0687
0.3,0.47,0.0859,0.0672
0.4,0.51,0.0852,0.0656
0.4,0.56,0.0843,0.0639
0.5,0.61,0.0829,0.0623
0.5,0.66,0.0809,0.0602
0.5,0.70,0.0786,0.0592
0.6,0.74,0.0757,0.0581
0.6,0.77,0.0720,0.0563
0.6,0.79,0.0673,0.0539
0.7,0.81,0.0622,0.0512
0.7,0.83,0.0567,0.0480
0.7,0.85,0.0510,0.0446
0.8,0.86,0.0452,0.0408
0.8,0.87,0.0391,0.0365
0.8,0.87,0.0330,0.0320
0.9,0.87,0.0267,0.0271
0.9,0.85,0.0203,0.0220
0.9,0.80,0.0138,0.0165
1.0,0.66,0.0068,0.0105
1.0,-0.00,-0.0000,0.0048
