# J, eta_p, CT, CP
0.00,0.0000,0.0638,0.0190
0.01,0.0498,0.0623,0.0188
0.03,0.0979,0.0609,0.0187
0.04,0.1442,0.0593,0.0186
0.06,0.1887,0.0577,0.0184
0.07,0.2313,0.0561,0.0182
0.09,0.2719,0.0544,0.0180
0.10,0.3105,0.0526,0.0178
0.12,0.3470,0.0508,0.0176
0.13,0.3809,0.0488,0.0173
0.15,0.4135,0.0470,0.0171
0.16,0.4435,0.0451,0.0168
0.18,0.4713,0.0431,0.0165
0.19,0.4968,0.0410,0.0162
0.21,0.5201,0.0389,0.0158
0.22,0.5411,0.0368,0.0153
0.24,0.5598,0.0345,0.0149
0.25,0.5758,0.0322,0.0143
0.27,0.5893,0.0298,0.0138
0.28,0.5995,0.0274,0.0131
0.30,0.6055,0.0249,0.0125
0.31,0.6064,0.0224,0.0118
0.33,0.6010,0.0198,0.0110
0.34,0.5881,0.0171,0.0102
0.35,0.5654,0.0144,0.0094
0.37,0.5303,0.0116,0.0084
0.38,0.4713,0.0088,0.0076
0.40,0.3812,0.0059,0.0066
0.41,0.2371,0.0030,0.0057
0.43,-0.0017,-0.0000,0.0048
