# J, eta_p, CT, CP
0.00,0.0000,0.1118,0.0568
0.02,0.0510,0.1107,0.0554
0.05,0.1022,0.1096,0.0544
0.07,0.1532,0.1082,0.0535
0.10,0.2035,0.1067,0.0529
0.12,0.2538,0.1049,0.0519
0.15,0.3027,0.1029,0.0512
0.17,0.3502,0.1006,0.0505
0.20,0.3960,0.0981,0.0497
0.22,0.4409,0.0953,0.0487
0.25,0.4823,0.0923,0.0479
0.27,0.5216,0.0890,0.0471
0.30,0.5592,0.0855,0.0460
0.32,0.5938,0.0817,0.0447
0.35,0.6247,0.0774,0.0434
0.37,0.6520,0.0730,0.0420
0.40,0.6771,0.0685,0.0404
0.42,0.6999,0.0639,0.0388
0.45,0.7204,0.0592,0.0369
0.47,0.7382,0.0544,0.0349
0.50,0.7528,0.0495,0.0328
0.52,0.7643,0.0444,0.0305
0.55,0.7722,0.0393,0.0280
0.57,0.7760,0.0342,0.0253
0.60,0.7705,0.0286,0.0223
0.62,0.7516,0.0230,0.0192
0.65,0.7098,0.0174,0.0160
0.67,0.6300,0.0117,0.0127
0.70,0.4560,0.0058,0.0093
0.72,-0.0056,-0.0001,0.0061
