# J, eta_p, CT, CP
0.00,0.0000,0.0933,0.0775
0.03,0.0523,0.0932,0.0764
0.06,0.1031,0.0930,0.0754
0.09,0.1526,0.0928,0.0742
0.12,0.2007,0.0926,0.0729
0.15,0.2474,0.0923,0.0719
0.18,0.2929,0.0919,0.0707
0.21,0.3372,0.0913,0.0696
0.24,0.3805,0.0907,0.0682
0.27,0.4228,0.0899,0.0669
0.30,0.4643,0.0889,0.0655
0.33,0.5048,0.0877,0.0641
0.36,0.5446,0.0862,0.0626
0.39,0.5833,0.0843,0.0611
0.42,0.6215,0.0816,0.0590
0.45,0.6585,0.0779,0.0563
0.48,0.6928,0.0735,0.0532
0.51,0.7229,0.0689,0.0501
0.54,0.7481,0.0640,0.0472
0.58,0.7692,0.0589,0.0443
0.61,0.7851,0.0536,0.0415
0.64,0.7958,0.0482,0.0385
0.67,0.8029,0.0426,0.0354
0.70,0.8054,0.0370,0.0320
0.73,0.8005,0.0312,0.0284
0.76,0.7823,0.0253,0.0245
0.79,0.7402,0.0191,0.0204
0.82,0.6488,0.0129,0.0162
0.85,0.4529,0.0065,0.0122
0.88,-0.0002,0.0000,0.0083
