# J, eta_p, CT, CP
0.0,0.00,0.1073,0.0862
0.0,0.05,0.1069,0.0838
0.1,0.09,0.1065,0.0814
0.1,0.14,0.1059,0.0789
0.1,0.19,0.1050,0.0761
0.1,0.23,0.1039,0.0733
0.2,0.28,0.1026,0.0702
0.2,0.33,0.1009,0.0672
0.2,0.38,0.0989,0.0641
0.2,0.43,0.0966,0.0611
0.3,0.47,0.0939,0.0583
0.3,0.52,0.0909,0.0558
0.3,0.56,0.0874,0.0534
0.4,0.60,0.0835,0.0512
0.4,0.64,0.0793,0.0494
0.4,0.67,0.0749,0.0477
0.4,0.69,0.0704,0.0460
0.5,0.71,0.0658,0.0442
0.5,0.73,0.0610,0.0422
0.5,0.75,0.0561,0.0400
0.6,0.76,0.0510,0.0376
0.6,0.78,0.0458,0.0349
0.6,0.78,0.0405,0.0320
0.6,0.79,0.0350,0.0288
0.7,0.79,0.0294,0.0253
0.7,0.77,0.0237,0.0216
0.7,0.74,0.0180,0.0178
0.8,0.68,0.0121,0.0137
0.8,0.53,0.0061,0.0093
0.8,-0.00,0.0000,0.0051
