# J, eta_p, CT, CP
0.00,0.0000,0.0968,0.1381
0.04,0.0453,0.0973,0.1357
0.09,0.0899,0.0977,0.1332
0.13,0.1340,0.0980,0.1305
0.18,0.1777,0.0984,0.1277
0.22,0.2210,0.0987,0.1249
0.26,0.2644,0.0989,0.1218
0.31,0.3080,0.0991,0.1185
0.35,0.3517,0.0992,0.1154
0.40,0.3961,0.0991,0.1120
0.44,0.4412,0.0989,0.1088
0.48,0.4878,0.0986,0.1055
0.53,0.5360,0.0980,0.1020
0.57,0.5847,0.0973,0.0988
0.62,0.6340,0.0960,0.0955
0.66,0.6841,0.0942,0.0921
0.70,0.7331,0.0915,0.0885
0.75,0.7777,0.0880,0.0848
0.79,0.8137,0.0833,0.0812
0.84,0.8403,0.0774,0.0771
0.88,0.8592,0.0706,0.0723
0.92,0.8733,0.0635,0.0672
0.97,0.8856,0.0561,0.0613
1.01,0.8945,0.0486,0.0549
1.06,0.8997,0.0409,0.0479
1.10,0.8986,0.0330,0.0403
1.14,0.8868,0.0251,0.0323
1.19,0.8464,0.0171,0.0239
1.23,0.7165,0.0086,0.0148
1.27,-0.0055,-0.0000,0.0056
