# J, eta_p, CT, CP
0.00,0.0000,0.0961,0.0896
0.03,0.0455,0.0962,0.0882
0.07,0.0926,0.0962,0.0854
0.10,0.1362,0.0964,0.0854
0.14,0.1866,0.0964,0.0818
0.17,0.2293,0.0965,0.0817
0.21,0.2799,0.0964,0.0788
0.24,0.3228,0.0964,0.0784
0.28,0.3683,0.0961,0.0770
0.31,0.4189,0.0957,0.0748
0.35,0.4684,0.0950,0.0729
0.38,0.5213,0.0939,0.0703
0.42,0.5707,0.0925,0.0686
0.45,0.6142,0.0907,0.0676
0.49,0.6624,0.0882,0.0653
0.52,0.7002,0.0851,0.0640
0.56,0.7340,0.0813,0.0623
0.59,0.7638,0.0766,0.0600
0.63,0.7872,0.0711,0.0573
0.66,0.8072,0.0655,0.0542
0.70,0.8244,0.0596,0.0508
0.73,0.8384,0.0535,0.0470
0.77,0.8487,0.0473,0.0431
0.80,0.8553,0.0410,0.0388
0.84,0.8563,0.0344,0.0339
0.87,0.8483,0.0277,0.0287
0.91,0.8203,0.0208,0.0233
0.94,0.7533,0.0139,0.0177
0.98,0.5886,0.0070,0.0120
1.01,0.0314,-0.0002,0.0062
