# J, eta_p, CT, CP
0.0,0.00,0.0900,0.1020
0.0,0.06,0.0904,0.1012
0.1,0.12,0.0906,0.1001
0.1,0.17,0.0910,0.1000
0.2,0.22,0.0913,0.0993
0.2,0.27,0.0915,0.0984
0.3,0.32,0.0917,0.0972
0.3,0.37,0.0919,0.0967
0.3,0.41,0.0921,0.0959
0.4,0.45,0.0921,0.0946
0.4,0.50,0.0921,0.0939
0.5,0.53,0.0921,0.0943
0.5,0.57,0.0920,0.0947
0.6,0.61,0.0916,0.0939
0.6,0.64,0.0909,0.0926
0.6,0.68,0.0898,0.0917
0.7,0.71,0.0880,0.0901
0.7,0.74,0.0855,0.0883
0.8,0.77,0.0817,0.0853
0.8,0.80,0.0765,0.0804
0.9,0.83,0.0702,0.0746
0.9,0.84,0.0634,0.0692
0.9,0.86,0.0564,0.0631
1.0,0.87,0.0489,0.0563
1.0,0.87,0.0412,0.0493
1.1,0.86,0.0335,0.0422
1.1,0.84,0.0254,0.0345
1.2,0.77,0.0172,0.0264
1.2,0.58,0.0089,0.0193
1.3,0.01,0.0003,0.0120
