# J, eta_p, CT, CP
0.0,0.00,0.1463,0.1862
0.0,0.05,0.1465,0.1826
0.1,0.09,0.1467,0.1789
0.1,0.14,0.1467,0.1752
0.2,0.19,0.1466,0.1715
0.2,0.23,0.1464,0.1677
0.2,0.28,0.1458,0.1631
0.3,0.32,0.1450,0.1585
0.3,0.37,0.1438,0.1532
0.4,0.41,0.1423,0.1477
0.4,0.46,0.1404,0.1421
0.5,0.50,0.1380,0.1366
0.5,0.55,0.1351,0.1310
0.5,0.59,0.1316,0.1254
0.6,0.64,0.1275,0.1198
0.6,0.68,0.1226,0.1139
0.7,0.72,0.1166,0.1081
0.7,0.76,0.1100,0.1023
0.8,0.79,0.1027,0.0960
0.8,0.81,0.0939,0.0913
0.8,0.83,0.0855,0.0849
0.9,0.84,0.0760,0.0800
0.9,0.85,0.0671,0.0730
1.0,0.86,0.0584,0.0655
1.0,0.87,0.0493,0.0571
1.0,0.87,0.0397,0.0478
1.1,0.86,0.0300,0.0380
1.1,0.83,0.0202,0.0275
1.2,0.74,0.0102,0.0162
1.2,0.02,-0.0000,0.0045
