# J, eta_p, CT, CP
0.00,0.0000,0.0894,0.0387
0.02,0.0523,0.0883,0.0379
0.04,0.1046,0.0871,0.0371
0.06,0.1564,0.0857,0.0364
0.09,0.2076,0.0841,0.0357
0.11,0.2578,0.0824,0.0351
0.13,0.3065,0.0806,0.0345
0.15,0.3545,0.0785,0.0337
0.17,0.3996,0.0763,0.0332
0.19,0.4424,0.0739,0.0326
0.21,0.4825,0.0713,0.0320
0.24,0.5196,0.0686,0.0314
0.26,0.5537,0.0657,0.0308
0.28,0.5847,0.0626,0.0301
0.30,0.6129,0.0594,0.0293
0.32,0.6386,0.0560,0.0284
0.34,0.6617,0.0526,0.0275
0.37,0.6820,0.0490,0.0264
0.39,0.6997,0.0455,0.0253
0.41,0.7144,0.0418,0.0240
0.43,0.7260,0.0380,0.0226
0.45,0.7345,0.0342,0.0211
0.47,0.7393,0.0302,0.0194
0.49,0.7389,0.0261,0.0176
0.52,0.7286,0.0220,0.0157
0.54,0.7049,0.0177,0.0137
0.56,0.6618,0.0134,0.0115
0.58,0.5804,0.0090,0.0093
0.60,0.4097,0.0045,0.0070
0.62,0.0024,0.0000,0.0049
