# J, eta_p, CT, CP
0.0,0.00,0.1892,0.1727
0.0,0.04,0.1891,0.1688
0.1,0.09,0.1889,0.1649
0.1,0.14,0.1887,0.1609
0.1,0.18,0.1882,0.1567
0.2,0.23,0.1875,0.1522
0.2,0.28,0.1863,0.1474
0.2,0.33,0.1845,0.1423
0.3,0.38,0.1820,0.1368
0.3,0.43,0.1786,0.1314
0.3,0.48,0.1744,0.1261
0.4,0.53,0.1691,0.1212
0.4,0.58,0.1628,0.1168
0.5,0.62,0.1556,0.1128
0.5,0.65,0.1474,0.1088
0.5,0.68,0.1389,0.1051
0.5,0.71,0.1304,0.1013
0.6,0.73,0.1216,0.0971
0.6,0.76,0.1127,0.0925
0.7,0.78,0.1035,0.0875
0.7,0.79,0.0941,0.0819
0.7,0.81,0.0845,0.0759
0.8,0.82,0.0746,0.0693
0.8,0.82,0.0646,0.0622
0.8,0.82,0.0543,0.0545
0.9,0.82,0.0438,0.0463
0.9,0.79,0.0331,0.0377
0.9,0.72,0.0222,0.0289
1.0,0.54,0.0112,0.0200
1.0,0.00,0.0000,0.0115
