# J, eta_p, CT, CP
0.0,0.00,0.1118,0.0949
0.0,0.05,0.1117,0.0931
0.1,0.09,0.1116,0.0911
0.1,0.14,0.1114,0.0891
0.1,0.18,0.1111,0.0870
0.2,0.23,0.1108,0.0848
0.2,0.28,0.1103,0.0825
0.2,0.33,0.1096,0.0802
0.3,0.37,0.1085,0.0777
0.3,0.43,0.1070,0.0748
0.3,0.48,0.1051,0.0721
0.3,0.53,0.1026,0.0698
0.4,0.57,0.0996,0.0675
0.4,0.61,0.0961,0.0655
0.4,0.65,0.0921,0.0636
0.5,0.69,0.0875,0.0616
0.5,0.71,0.0823,0.0593
0.5,0.74,0.0769,0.0569
0.6,0.76,0.0714,0.0543
0.6,0.78,0.0656,0.0515
0.6,0.79,0.0596,0.0483
0.7,0.80,0.0536,0.0448
0.7,0.81,0.0474,0.0411
0.7,0.82,0.0411,0.0370
0.8,0.82,0.0346,0.0324
0.8,0.81,0.0279,0.0276
0.8,0.79,0.0212,0.0225
0.9,0.74,0.0142,0.0170
0.9,0.61,0.0072,0.0111
0.9,0.01,-0.0000,0.0054
