# J, eta_p, CT, CP
0.0,0.00,0.1413,0.0624
0.0,0.06,0.1388,0.0620
0.1,0.11,0.1358,0.0614
0.1,0.17,0.1330,0.0609
0.1,0.22,0.1297,0.0604
0.1,0.27,0.1261,0.0597
0.2,0.31,0.1222,0.0590
0.2,0.36,0.1182,0.0583
0.2,0.40,0.1142,0.0576
0.2,0.44,0.1099,0.0567
0.3,0.48,0.1053,0.0557
0.3,0.51,0.1009,0.0546
0.3,0.55,0.0962,0.0535
0.3,0.58,0.0915,0.0521
0.4,0.60,0.0865,0.0507
0.4,0.63,0.0817,0.0492
0.4,0.65,0.0767,0.0475
0.4,0.67,0.0715,0.0457
0.5,0.69,0.0659,0.0435
0.5,0.70,0.0605,0.0413
0.5,0.72,0.0549,0.0389
0.5,0.72,0.0492,0.0364
0.6,0.72,0.0433,0.0338
0.6,0.71,0.0375,0.0309
0.6,0.68,0.0314,0.0281
0.6,0.64,0.0252,0.0249
0.7,0.57,0.0190,0.0218
0.7,0.46,0.0128,0.0189
0.7,0.29,0.0062,0.0155
0.7,0.00,0.0001,0.0130
