# J, eta_p, CT, CP
0.0,0.00,0.0970,0.0446
0.0,0.06,0.0963,0.0442
0.0,0.11,0.0955,0.0438
0.1,0.16,0.0945,0.0433
0.1,0.22,0.0934,0.0429
0.1,0.27,0.0921,0.0425
0.1,0.32,0.0905,0.0420
0.2,0.37,0.0887,0.0415
0.2,0.42,0.0867,0.0409
0.2,0.46,0.0843,0.0402
0.2,0.51,0.0816,0.0396
0.3,0.55,0.0787,0.0389
0.3,0.58,0.0756,0.0382
0.3,0.62,0.0723,0.0373
0.3,0.65,0.0687,0.0363
0.4,0.68,0.0648,0.0352
0.4,0.70,0.0608,0.0339
0.4,0.73,0.0566,0.0325
0.4,0.75,0.0524,0.0310
0.5,0.77,0.0481,0.0293
0.5,0.78,0.0437,0.0275
0.5,0.79,0.0392,0.0255
0.5,0.80,0.0346,0.0233
0.6,0.80,0.0299,0.0210
0.6,0.80,0.0251,0.0186
0.6,0.78,0.0203,0.0160
0.6,0.73,0.0153,0.0133
0.7,0.66,0.0103,0.0104
0.7,0.49,0.0052,0.0073
0.7,-0.00,-0.0000,0.0046
