# J, eta_p, CT, CP
0.00,0.0000,0.1023,0.1144
0.04,0.0566,0.1025,0.1129
0.08,0.1114,0.1028,0.1124
0.12,0.1644,0.1030,0.1103
0.17,0.2154,0.1033,0.1092
0.21,0.2647,0.1034,0.1078
0.25,0.3123,0.1035,0.1059
0.29,0.3581,0.1036,0.1048
0.33,0.4032,0.1034,0.1023
0.37,0.4464,0.1033,0.1009
0.41,0.4877,0.1031,0.1004
0.46,0.5285,0.1027,0.0991
0.50,0.5677,0.1022,0.0982
0.54,0.6069,0.1013,0.0966
0.58,0.6437,0.1002,0.0958
0.62,0.6799,0.0984,0.0943
0.66,0.7150,0.0957,0.0921
0.70,0.7495,0.0917,0.0886
0.74,0.7830,0.0861,0.0836
0.79,0.8127,0.0793,0.0776
0.83,0.8335,0.0721,0.0721
0.87,0.8478,0.0647,0.0667
0.91,0.8589,0.0570,0.0607
0.95,0.8653,0.0492,0.0542
0.99,0.8675,0.0412,0.0473
1.03,0.8608,0.0334,0.0403
1.08,0.8364,0.0254,0.0330
1.12,0.7692,0.0170,0.0251
1.16,0.5864,0.0084,0.0172
1.20,-0.0407,-0.0008,0.0098
