# J, eta_p, CT, CP
0.00,0.0000,0.0945,0.0675
0.03,0.0473,0.0945,0.0663
0.06,0.0948,0.0944,0.0651
0.09,0.1426,0.0942,0.0638
0.12,0.1908,0.0940,0.0625
0.15,0.2414,0.0935,0.0604
0.18,0.2872,0.0930,0.0600
0.21,0.3386,0.0923,0.0583
0.24,0.3873,0.0914,0.0572
0.27,0.4414,0.0900,0.0550
0.30,0.4875,0.0885,0.0544
0.33,0.5345,0.0866,0.0532
0.35,0.5817,0.0842,0.0517
0.38,0.6217,0.0815,0.0508
0.41,0.6593,0.0784,0.0497
0.44,0.6928,0.0749,0.0484
0.47,0.7223,0.0709,0.0469
0.50,0.7473,0.0662,0.0450
0.53,0.7689,0.0615,0.0429
0.56,0.7875,0.0564,0.0405
0.59,0.8035,0.0513,0.0379
0.62,0.8164,0.0460,0.0352
0.65,0.8258,0.0407,0.0323
0.68,0.8311,0.0353,0.0291
0.71,0.8320,0.0297,0.0256
0.74,0.8248,0.0240,0.0218
0.77,0.8015,0.0182,0.0177
0.80,0.7466,0.0122,0.0134
0.83,0.5985,0.0062,0.0091
0.86,-0.0016,0.0000,0.0049
