# J, eta_p, CT, CP
0.0,0.00,0.1456,0.1762
0.0,0.05,0.1458,0.1729
0.1,0.10,0.1458,0.1693
0.1,0.14,0.1458,0.1657
0.2,0.19,0.1456,0.1621
0.2,0.23,0.1452,0.1583
0.2,0.28,0.1446,0.1540
0.3,0.32,0.1437,0.1499
0.3,0.37,0.1425,0.1454
0.4,0.41,0.1409,0.1405
0.4,0.46,0.1389,0.1356
0.5,0.51,0.1364,0.1306
0.5,0.55,0.1335,0.1255
0.5,0.60,0.1299,0.1203
0.6,0.64,0.1258,0.1152
0.6,0.68,0.1209,0.1100
0.7,0.72,0.1152,0.1044
0.7,0.75,0.1089,0.0985
0.7,0.78,0.1010,0.0943
0.8,0.80,0.0930,0.0879
0.8,0.83,0.0850,0.0814
0.9,0.84,0.0769,0.0747
0.9,0.84,0.0668,0.0719
0.9,0.84,0.0566,0.0684
1.0,0.86,0.0486,0.0559
1.0,0.86,0.0393,0.0470
1.1,0.85,0.0297,0.0374
1.1,0.82,0.0201,0.0274
1.2,0.72,0.0102,0.0164
1.2,0.00,0.0000,0.0049
