# J, eta_p, CT, CP
0.0,0.00,0.0941,0.0405
0.0,0.05,0.0932,0.0403
0.0,0.11,0.0921,0.0401
0.1,0.16,0.0908,0.0398
0.1,0.21,0.0894,0.0394
0.1,0.26,0.0877,0.0389
0.1,0.31,0.0857,0.0383
0.2,0.35,0.0835,0.0378
0.2,0.39,0.0810,0.0371
0.2,0.43,0.0783,0.0365
0.2,0.47,0.0754,0.0359
0.2,0.51,0.0723,0.0351
0.3,0.54,0.0692,0.0344
0.3,0.57,0.0659,0.0336
0.3,0.59,0.0625,0.0328
0.3,0.62,0.0590,0.0319
0.4,0.64,0.0554,0.0309
0.4,0.66,0.0517,0.0298
0.4,0.67,0.0479,0.0286
0.4,0.68,0.0440,0.0272
0.4,0.70,0.0400,0.0256
0.5,0.70,0.0359,0.0239
0.5,0.71,0.0317,0.0220
0.5,0.70,0.0274,0.0199
0.5,0.69,0.0230,0.0177
0.6,0.67,0.0185,0.0154
0.6,0.62,0.0140,0.0130
0.6,0.53,0.0094,0.0106
0.6,0.36,0.0048,0.0082
0.6,-0.00,-0.0000,0.0059
